’’	''	ἀεί	a)ei/	d--------
’’	''	εἰμί	ei)mi/	v1siia---
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-p---ma-
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-s---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mv-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v1siia---
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰσχίνης	*ai)sxi/nhs	Αἰσχίνης	*ai)sxi/nhs	n-s---mn-
Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	n-s---fa-
Βισάλταις	*bisa/ltais	Βισάλτησ-πλ	*bisa/lths-pl	n-p---md-
Βοιωτίαν	*boiwti/an	Βοιώτιος	*boiw/tios	a-s---fa-
Βοιωτίαν	*boiwti/an	Βοιωτία	*boiwti/a	n-s---fa-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	n-p---mg-
Βυζαντίου	*buzanti/ou	Βυζάντιος	*buza/ntios	a-s---mg-
Βυζαντίου	*buzanti/ou	Βυζάντιος	*buza/ntios	a-s---ng-
Βυζαντίου	*buzanti/ou	Βυζάντιος	*buza/ntios	n-s---ng-
Γλαύκωνος	*glau/kwnos	Γλαύκων	*glau/kwn	n-s---mg-
Γυλίππου	*guli/ppou	Γύλιππος	*gu/lippos	n-s---mg-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	n-p---mn-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	n-p---mv-
Δελφούς	*delfou/s	Δελφοί	*delfoi/	n-p---ma-
Δελφοῖς	*delfoi=s	Δελφοί	*delfoi/	n-p---md-
Διαμνημονεύεται	*diamnhmoneu/etai	διαμνημονεύω	diamnhmoneu/w	v3spie---
Διαμνημονεύεται	*diamnhmoneu/etai	διαμνημονεύω	diamnhmoneu/w	v3spie---
Διδάσκαλον	*dida/skalon	διδάσκαλος	dida/skalos	n-s---ma-
Διδάσκαλον	*dida/skalon	διδάσκαλος	dida/skalos	n-s---fa-
Διοπείθης	*diopei/qhs	Διοπείθης	*diopei/qhs	n-s---mn-
Δοῦρις	*dou=ris	Δοῦρις	*dou=ris	n-s---fn-
Δρακοντίδου	*drakonti/dou	Δρακοντίδης	*drakonti/dhs	n-s---mg-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	n-p---ma-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	n-p---mn-
Δωριεῖς	*dwriei=s	Δωριεύς	*dwrieu/s	n-p---mv-
Δωριεῖς	*dwriei=s	δωρίζω	dwri/zw	v2sfia---
Δάμων	*da/mwn	Δάμων	*da/mwn	n-s---mn-
Δάμων	*da/mwn	Δάμων	*da/mwn	n-s---mv-
