’	'	ἒ	e)\	x--------
Αἰγέως	*ai)ge/ws	Αἰγεύς	*ai)geu/s	n-s---mg-
Αἰγέως	*ai)ge/ws	Αἰγεύς	*ai)geu/s	n-s---mg-
Αἰγέως	*ai)ge/ws	Αἰγεύς	*ai)geu/s	n-s---mn-
Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	n-s---fg-
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	x--------
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	a-p---ma-
Βρόμιος	*bro/mios	Βρόμιος	*bro/mios	a-s---mn-
Βρόμιος	*bro/mios	Βρόμιος	*bro/mios	n-s---mn-
Βρόμιος	*bro/mios	βρόμιος	bro/mios	a-s---mn-
Βάκχαις	*ba/kxais	Βάκχη-πλ	*ba/kxh-pl	n-p---fd-
Βάκχαις	*ba/kxais	Βάκχη-πλ	*ba/kxh-pl	n-p---fd-
Γαῖαν	*gai=an	Γαῖα	*gai=a	n-s---fa-
Γαῖαν	*gai=an	γαῖα	gai=a	n-s---fa-
Γοργείοισιν	*gorgei/oisin	Γόργειος	*go/rgeios	a-p---md-
Γοργείοισιν	*gorgei/oisin	Γόργειος	*go/rgeios	a-p---nd-
Γοργόνας	*gorgo/nas	Γοργόνες	*gorgo/nes	n-p---fa-
Γοργόνας	*gorgo/nas	Γοργόνη	*gorgo/nh	n-p---fa-
Γοργόνας	*gorgo/nas	Γοργόνη	*gorgo/nh	n-s---fg-
Γοργόνας	*gorgo/nas	Γοργών	*gorgw/n	n-p---fa-
Δελφός	*delfo/s	Δελφός	*delfo/s	n-s---mn-
Δηλίαν	*dhli/an	Δήλιος	*dh/lios	a-s---fa-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίκας	*di/kas	Δίκη	*di/kh	n-p---fa-
Δίκας	*di/kas	Δίκη	*di/kh	n-s---fg-
Δίκας	*di/kas	δίκη	di/kh	n-p---fa-
