Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	urn:cite2:hmt:lsj.chicago_md:n2739	n-s---fg-
Βορραίαις	*borrai/ais	Βορραῖος	*borrai=os	urn:cite2:hmt:lsj.chicago_md:n20394	a-p---fd-
Γῆ	*gh=	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γῆ	*gh=	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Γῆ	*gh=	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fn-
Γῆ	*gh=	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fv-
Γῆ	*gh=	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fn-
Γῆ	*gh=	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fv-
Γῇ	*gh=|	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fd-
Γῇ	*gh=|	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fd-
Γῇ	*gh=|	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fd-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---ma-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fa-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mn-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mv-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fn-
Διογενεῖς	*diogenei=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---ma-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fa-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---ma-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fa-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---mv-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fn-
Διογενεῖς	*diogenei=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-p---fv-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mg-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fg-
Διογενοῦς	*diogenou=s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---ng-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---ng-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fg-
Διογενοῦς	*diogenou=s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---ng-
Διογενές	*diogene/s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nn-
Διογενές	*diogene/s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nv-
Διογενές	*diogene/s	Διογενής	*diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mv-
