Αἰτωλίς	*ai)twli/s	none-found	n-s---fn-
Εὐβοιίς	*eu)boiko/s	none-found	n-s---fn-
Εὐβοΐδα	*eu)boi/das	none-found	n-s---mg-
Εὐβοΐδα	*eu)boiko/s	none-found	n-s---fa-
Εὐρυσθεύς	*eu)rusqeu/s	none-found	n-s---mn-
Εὔηνον	*eu)/hnos	none-found	n-s---ma-
Θήβας	*qh/bh	none-found	n-s---fg-
Θήβης	*qh/bh	none-found	n-s---fg-
Κηναίῳ	*kh/naion	none-found	n-s---nd-
Κηναίῳ	*khnai=os	none-found	n-s---md-
Κρήσιον	*krh/sios	none-found	a-s---ma-
Κρήσιον	*krh/sios	none-found	a-s---nn-
Κρήσιον	*krh/sios	none-found	a-s---nv-
Κρήσιον	*krh/sios	none-found	a-s---na-
Κήναιόν	*kh/naion	none-found	n-s---nn-
Κήναιόν	*kh/naion	none-found	n-s---nv-
Κήναιόν	*kh/naion	none-found	n-s---na-
Κήναιόν	*khnai=os	none-found	n-s---ma-
Λερναίαν	*lernai=os	none-found	a-s---fa-
Λερναίας	*lernai=os	none-found	a-p---fa-
Λερναίας	*lernai=os	none-found	a-s---fg-
Λοκρῶν	*lokro/s	none-found	a-p---fg-
Λοκρῶν	*lokro/s	none-found	a-p---mg-
Λοκρῶν	*lokro/s	none-found	a-p---ng-
Λυδία	*ludi/as	none-found	n-d---mn-
Λυδία	*ludi/as	none-found	n-d---mv-
Λυδία	*ludi/as	none-found	n-d---ma-
Λυδία	*ludi/as	none-found	n-s---mv-
Λυδία	*ludi/as	none-found	n-s---mg-
Λίχα	*li/xhs	none-found	n-d---mn-
Λίχα	*li/xhs	none-found	n-d---mv-
Λίχα	*li/xhs	none-found	n-d---ma-
Λίχα	*li/xhs	none-found	n-s---mv-
Λίχα	*li/xhs	none-found	n-s---mg-
Λίχα	*li/xhs	none-found	n-s---mn-
Λίχαν	*li/xhs	none-found	n-s---ma-
Λίχαν	*li/xhs	none-found	n-s---ma-
