Αἰτωλίς	*ai)twli/s	Αἰτωλίς	*ai)twli/s	n-s---fn-
Βακχίας	*bakxi/as	Βάκχειος	*ba/kxeios	a-p---fa-
Βακχίας	*bakxi/as	Βάκχειος	*ba/kxeios	a-s---fg-
Βακχίας	*bakxi/as	Βάκχειος	*ba/kxeios	a-p---fa-
Βακχίας	*bakxi/as	Βάκχειος	*ba/kxeios	a-s---fg-
Γιγάντων	*giga/ntwn	γίγας	gi/gas	n-p---mg-
Δηιάνειραν	*dhia/neiran	Δηιάνειρα	*dhia/neira	n-s---fa-
Διί	*dii/	Ζεύς	*zeu/s	n-s---md-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δωδῶνι	*dwdw=ni	Δωδώνη	*dwdw/nh	n-s---fd-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	n-s---fn-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	n-s---fv-
Δῃάνειραν	*dh|a/neiran	Δηιάνειρα	*dhia/neira	n-s---fa-
Δῖον	*di=on	Δῖον	*di=on	n-s---nn-
Δῖον	*di=on	Δῖον	*di=on	n-s---nv-
Δῖον	*di=on	Δῖον	*di=on	n-s---na-
Δῖον	*di=on	Δῖος	*di=os	n-s---ma-
Δῖον	*di=on	δῖος	di=os	a-s---ma-
Δῖον	*di=on	δῖος	di=os	a-s---nn-
Δῖον	*di=on	δῖος	di=os	a-s---nv-
Δῖον	*di=on	δῖος	di=os	a-s---na-
Δῖον	*di=on	δῖος	di=os	n-s---ma-
Δῖον	*di=on	δῖος	di=os	n-s---fa-
Δῖον	*di=on	δῖος	di=os	n-s---nn-
Δῖον	*di=on	δῖος	di=os	n-s---nv-
Δῖον	*di=on	δῖος	di=os	n-s---na-
Εὐβοιίς	*eu)boii/s	Εὐβοικός	*eu)boiko/s	n-s---fn-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
