Αἰσχύλῳ	*ai)sxu/lw|	Αἰσχύλος	*ai)sxu/los	n-s---md-
θώμεσθ’	qw/mesq'	θάομαι	qa/omai	v1piie---
θώμεσθ’	qw/mesq'	θάζω	qa/zw	v1pfim---
θώμεσθ’	qw/mesq'	θέω	qe/w	v1ppsm---
θώμεσθ’	qw/mesq'	τίθημι	ti/qhmi	v1pase---
θώμεσθ’	qw/mesq'	τίθημι	ti/qhmi	v1pasm---
θᾶττον	qa=tton	θάσσων	qa/sswn	a-s---mv-
θᾶττον	qa=tton	θάσσων	qa/sswn	a-s---fv-
θᾶττον	qa=tton	θάσσων	qa/sswn	a-s---nn-
θᾶττον	qa=tton	θάσσων	qa/sswn	a-s---nv-
θᾶττον	qa=tton	θάσσων	qa/sswn	a-s---na-
θᾶττον	qa=tton	ταχύς	taxu/s	a-s---mv-
θᾶττον	qa=tton	ταχύς	taxu/s	a-s---fv-
θᾶττον	qa=tton	ταχύς	taxu/s	a-s---nn-
θᾶττον	qa=tton	ταχύς	taxu/s	a-s---nv-
θᾶττον	qa=tton	ταχύς	taxu/s	a-s---na-
κα	ka	ἄν1	a)/n1	g--------
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v1sasa---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v1sfia---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v2saim---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v1sasa---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v1sfia---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v2saim---
καθαγίσω	kaqagi/sw	καθαγίζω	kaqagi/zw	v2saim---
καθεύδων	kaqeu/dwn	καθεύδω	kaqeu/dw	v-sppamn-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppamv-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppann-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppanv-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppana-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppamn-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v--pna---
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v--pna---
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppamv-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppann-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppanv-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppana-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v-sppamn-
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v--pna---
καθορᾶν	kaqora=n	καθοράω	kaqora/w	v--pna---
καθοίμεθ’	kaqoi/meq'	κάθημαι	ka/qhmai	v1ppom---
καθοίμεθ’	kaqoi/meq'	καθίημι	kaqi/hmi	v1paom---
καθέζετο	kaqe/zeto	κατά-ἕζομαι	kata/-e(/zomai	v3saim---
καθέζετο	kaqe/zeto	κατά-ἕζομαι	kata/-e(/zomai	v3siie---
καθέζετο	kaqe/zeto	κατά-καθέζομαι	kata/-kaqe/zomai	v3siim---
καθέλωσιν	kaqe/lwsin	καθαιρέω	kaqaire/w	v3pasa---
καθέλωσιν	kaqe/lwsin	καθαιρέω	kaqaire/w	v3pasa---
καθήμεθ’	kaqh/meq'	κάθημαι	ka/qhmai	v1prim---
καθήμεθ’	kaqh/meq'	κάθημαι	ka/qhmai	v1plim---
καθῆσθαι	kaqh=sqai	κάθημαι	ka/qhmai	v--rnm---
καιρός	kairo/s	καιρός	kairo/s	n-s---mn-
κακοδαίμων	kakodai/mwn	κακοδαίμων	kakodai/mwn	n-s---mn-
κακοδαίμων	kakodai/mwn	κακοδαίμων	kakodai/mwn	n-s---fn-
κακοῦ	kakou=	κακός	kako/s	a-s---mg-
κακοῦ	kakou=	κακός	kako/s	a-s---ng-
κακοῦ	kakou=	κακόω	kako/w	v2spme---
κακοῦ	kakou=	κακόω	kako/w	v2siie---
κακά	kaka/	κακός	kako/s	a-p---nn-
κακά	kaka/	κακός	kako/s	a-p---nv-
κακά	kaka/	κακός	kako/s	a-p---na-
κακά	kaka/	κακός	kako/s	a-d---fn-
κακά	kaka/	κακός	kako/s	a-d---fv-
κακά	kaka/	κακός	kako/s	a-d---fa-
κακά	kaka/	κακός	kako/s	a-s---fn-
κακά	kaka/	κακός	kako/s	a-s---fv-
κακόδαιμον	kako/daimon	κακοδαίμων	kakodai/mwn	n-s---mv-
κακόδαιμον	kako/daimon	κακοδαίμων	kakodai/mwn	n-s---fv-
κακόδαιμον	kako/daimon	κακοδαίμων	kakodai/mwn	n-s---nn-
κακόδαιμον	kako/daimon	κακοδαίμων	kakodai/mwn	n-s---nv-
κακόδαιμον	kako/daimon	κακοδαίμων	kakodai/mwn	n-s---na-
κακόν	kako/n	κακός	kako/s	a-s---ma-
κακόν	kako/n	κακός	kako/s	a-s---nn-
κακόν	kako/n	κακός	kako/s	a-s---nv-
κακόν	kako/n	κακός	kako/s	a-s---na-
κακῶν	kakw=n	κάκη	ka/kh	n-p---fg-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpann-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpanv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpana-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamn-
κακῶν	kakw=n	κακός	kako/s	a-p---fg-
κακῶν	kakw=n	κακός	kako/s	a-p---mg-
κακῶν	kakw=n	κακός	kako/s	a-p---ng-
κακῶν	kakw=n	κακόω	kako/w	v-sppamv-
κακῶν	kakw=n	κακόω	kako/w	v-sppann-
κακῶν	kakw=n	κακόω	kako/w	v-sppanv-
κακῶν	kakw=n	κακόω	kako/w	v-sppana-
κακῶν	kakw=n	κακόω	kako/w	v-sppamn-
κακῶν	kakw=n	κακόω	kako/w	v--pna---
κακῶς	kakw=s	κακός	kako/s	x--------
κακῶς	kakw=s	κακόω	kako/w	v2spia---
κακῷ	kakw=|	κακάζω	kaka/zw	v3sfoa---
κακῷ	kakw=|	κακός	kako/s	a-s---md-
κακῷ	kakw=|	κακός	kako/s	a-s---nd-
καλαθίσκον	kalaqi/skon	καλαθίσκον	kalaqi/skon	n-s---nn-
καλαθίσκον	kalaqi/skon	καλαθίσκον	kalaqi/skon	n-s---nv-
καλαθίσκον	kalaqi/skon	καλαθίσκον	kalaqi/skon	n-s---na-
καλαθίσκον	kalaqi/skon	καλαθίσκος	kalaqi/skos	n-s---ma-
καλεῖ	kalei=	καλέω	kale/w	v2sfim---
καλεῖ	kalei=	καλέω	kale/w	v3sfia---
καλεῖ	kalei=	καλέω	kale/w	v2spie---
καλεῖ	kalei=	καλέω	kale/w	v3spia---
καλεῖν	kalei=n	καλέω	kale/w	v--fna---
καλεῖν	kalei=n	καλέω	kale/w	v--pna---
καλεῖς	kalei=s	καλέω	kale/w	v2sfia---
καλεῖς	kalei=s	καλέω	kale/w	v2spia---
καλεῖσθαι	kalei=sqai	καλέω	kale/w	v--fnm---
καλεῖσθαι	kalei=sqai	καλέω	kale/w	v--pne---
καλλίονα	kalli/ona	καλός	kalo/s	a-p---nn-
καλλίονα	kalli/ona	καλός	kalo/s	a-p---nv-
καλλίονα	kalli/ona	καλός	kalo/s	a-p---na-
καλλίονα	kalli/ona	καλός	kalo/s	a-s---ma-
καλλίονα	kalli/ona	καλός	kalo/s	a-s---fa-
