Γαιηόχου	*gaiho/xou	Γαιήοχος	*gaih/oxos	n-s---mg-
Γαιηόχου	*gaiho/xou	γαιήοχος	gaih/oxos	n-s---mg-
Γαιηόχου	*gaiho/xou	γαιήοχος	gaih/oxos	n-s---fg-
Γαιηόχου	*gaiho/xou	γαιήοχος	gaih/oxos	n-s---ng-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζηνί	*zhni/	Ζεύς	*zeu/s	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Κενταύρου	*kentau/rou	Κένταυρος	*ke/ntauros	n-s---mg-
Κρονίδην	*kroni/dhn	Κρονίδης	*kroni/dhs	n-s---ma-
Κρονίδης	*kroni/dhs	Κρονίδης	*kroni/dhs	n-s---mn-
Κρονίων	*kroni/wn	Κρόνια	*kro/nia	n-p---ng-
Κρονίων	*kroni/wn	Κρόνιος	*kro/nios	a-p---fg-
Κρονίων	*kroni/wn	Κρόνιος	*kro/nios	a-p---mg-
Κρονίων	*kroni/wn	Κρόνιος	*kro/nios	a-p---ng-
Κρονίων	*kroni/wn	Κρονίων	*kroni/wn	n-s---mn-
Κρονίων	*kroni/wn	Κρονίων	*kroni/wn	n-s---mv-
Κρονίων	*kroni/wn	Κρονίων	*kroni/wn	n-s---mn-
Κρονίων	*kroni/wn	Κρονίων	*kroni/wn	n-s---mv-
Κρονίωνα	*kroni/wna	Κρονίων	*kroni/wn	n-s---ma-
Κρονίωνι	*kroni/wni	Κρονίων	*kroni/wn	n-s---md-
Κρονίωνος	*kroni/wnos	Κρονίων	*kroni/wn	n-s---mg-
Κυλλήνης	*kullh/nhs	Κυλλήνη	*kullh/nh	n-s---fg-
Κυλλήνιε	*kullh/nie	Κυλλήνη	*kullh/nh	a-s---mv-
Κυλλήνιος	*kullh/nios	Κυλλήνη	*kullh/nh	a-s---mn-
Λητοίδου	*lhtoi/dou	Λητοίδης	*lhtoi/dhs	n-s---mg-
Λητοΐδη	*lhtoi+/dh	Λητοίδης	*lhtoi/dhs	n-s---mv-
Λητοΐδην	*lhtoi+/dhn	Λητοίδης	*lhtoi/dhs	n-s---ma-
Λητοΐδης	*lhtoi+/dhs	Λητοίδης	*lhtoi/dhs	n-s---mn-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	n-p---fn-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	n-p---fv-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	n-s---fg-
Μαιάδα	*maia/da	Μαιάς	*maia/s	n-s---fa-
Μαιάδα	*maia/da	μαιάς	maia/s	n-s---fa-
Μαιάδος	*maia/dos	Μαιάς	*maia/s	n-s---fg-
Μαιάδος	*maia/dos	μαιάς	maia/s	n-s---fg-
Μαίης	*mai/hs	Μάιος	*ma/ios	a-s---fg-
Μαίης	*mai/hs	Μαῖα	*mai=a	n-s---fg-
Μαίης	*mai/hs	Μαῖα	*mai=a	n-s---fg-
Μαίης	*mai/hs	μαῖα	mai=a	n-s---fg-
Μαῖα	*mai=a	Μαῖα	*mai=a	n-s---fn-
Μαῖα	*mai=a	Μαῖα	*mai=a	n-s---fv-
Μαῖα	*mai=a	μαῖα	mai=a	n-s---fn-
Μαῖα	*mai=a	μαῖα	mai=a	n-s---fv-
Μαῖα	*mai=a	μαῖον	mai=on	n-p---nn-
Μαῖα	*mai=a	μαῖον	mai=on	n-p---nv-
Μαῖα	*mai=a	μαῖον	mai=on	n-p---na-
Μνημοσύνην	*mnhmosu/nhn	Μνημοσύνη	*mnhmosu/nh	n-s---fa-
Μνημοσύνην	*mnhmosu/nhn	μνημοσύνη	mnhmosu/nh	n-s---fa-
Μουσάων	*mousa/wn	Μοῦσα	*mou=sa	n-p---fg-
Μουσάων	*mousa/wn	Μοῦσαι	*mou=sai	n-p---fg-
Μουσάων	*mousa/wn	Μοῦσαι	*mou=sai	n-p---fg-
Μούσῃσιν	*mou/sh|sin	Μοῦσα	*mou=sa	n-p---fd-
Μούσῃσιν	*mou/sh|sin	Μοῦσαι	*mou=sai	n-p---fd-
Μούσῃσιν	*mou/sh|sin	Μοῦσαι	*mou=sai	n-p---fd-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	n-s---fv-
