token_urn	surface_form	normalized_form	reason
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Hymn to Hermes, Greek	Hymn to Hermes, Greek	no_match_in_morph_dict
urn	urn:cite2:cex:fufolio.2026:hermes_grc	urn:cite2:cex:fufolio.2026:hermes_grc	no_match_in_morph_dict
license	CC Share Alike. For details, see more info.	CC Share Alike. For details, see more info.	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:	line	line	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:4.token.7	μιγεῖσα	μιγεῖσα	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:7.token.3	μισγέσκετο	μισγέσκετο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:38.token.5	θάνῃς	θάνῃς	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:41.token.2	ἀναπηρώσας	ἀναπηρώσας	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:67.token.1	φηληταὶ	φηληταί	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:81.token.1	συμμίσγων	συμμίσγων	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:85.token.2	Πιερίηθεν	Πιερίηθεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:88.token.4	Ὀγχηστὸν	Ὀγχηστόν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:100.token.3	Μεγαμηδείδαο	Μεγαμηδείδαο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:101.token.3	Ἀλφειὸν	Ἀλφειόν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:116.token.3	ὑποβρύχους	ὑποβρύχους	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:123.token.1	ἐργμένον	ἐργμένον	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:139.token.5	Ἀλφειὸν	Ἀλφειόν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:175.token.5	φηλητέων	φηλητέων	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:186.token.1	Ὀγχηστόνδ’	Ὀγχηστόνδ’	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:190.token.4	Ὀγχηστοῖο	Ὀγχηστοῖο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:214.token.1	φηλητὴν	φηλητήν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:228.token.5	καταείμενον	καταείμενον	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:273.token.10	ὕπο	ὕπο	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:275.token.6	ὑπίσχομαι	ὑπίσχομαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:292.token.2	φηλητέων	φηλητέων	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:304.token.10	Ἑομῆς	Ἑομῆς	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:356.token.8	κατέερξε	κατέερξε	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:365.token.1	Ἠ	Ἠ	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:366.token.1	Ερμῆς	Ερμῆς	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:398.token.5	Ἀλφειοῦ	Ἀλφειοῦ	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:417.token.3	ἐπρήυνεν	ἐπρήυνεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:446.token.4	φηλῆτα	φηλῆτα	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:447.token.5	μοῦσα	μοῦσα	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:464.token.4	Ἐκάεργε	Ἐκάεργε	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:470.token.5	ἔπορεν	ἔπορεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:472.token.3	Ἐκάεργε	Ἐκάεργε	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:485.token.3	ἀθυρομένη	ἀθυρομένη	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:492.token.4	Ἐκάεργε	Ἐκάεργε	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:493.token.8	μιγεῖσαι	μιγεῖσαι	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:497.token.1	Ἐρμῇ	Ἐρμῇ	no_match_in_morph_dict
urn:cts:greekLit:tlg0013.tlg004.fucex:516.token.6	ἐπαμοίβια	ἐπαμοίβια	no_match_in_morph_dict
