’	'	ἒ	e)\	x--------
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---ma-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nn-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nv-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---na-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---ma-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---fa-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---nn-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---nv-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---na-
Αἰγίπλαγκτον	*ai)gi/plagkton	Αἰγίπλαγκτος	*ai)gi/plagktos	n-s---ma-
Αἴγισθος	*ai)/gisqos	Αἴγισθος	*ai)/gisqos	n-s---mn-
Αἴγισθ’	*ai)/gisq'	Αἴγισθος	*ai)/gisqos	n-s---mv-
Αἴγισθ’	*ai)/gisq'	Αἴγιστος	*ai)/gistos	n-s---mv-
Αὐλίδος	*au)li/dos	Αὐλίς	*au)li/s	n-s---fg-
Γηρυών	*ghruw/n	Γηρυόνησ-πλ	*ghruo/nhs-pl	n-s---mn-
Γηρυών	*ghruw/n	Γηρυόνησ-πλ	*ghruo/nhs-pl	n-s---mv-
Γοργῶπιν	*gorgw=pin	γοργῶπις	gorgw=pis	n-s---fa-
Γοργῶπιν	*gorgw=pin	γοργωπός	gorgwpo/s	n-s---fa-
Γοργῶπιν	*gorgw=pin	γοργωπός	gorgwpo/s	n-s---fa-
Δαναοῖσι	*danaoi=si	Δαναός	*danao/s	n-p---md-
Δαναοῖσι	*danaoi=si	Δαναοί	*danaoi/	n-p---md-
Δαναῶν	*danaw=n	Δαναός	*danao/s	n-p---mg-
Δαναῶν	*danaw=n	Δαναοί	*danaoi/	n-p---mg-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	d--------
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fv-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fa-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fn-
Δίκα	*di/ka	δίκη	di/kh	n-d---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fa-
Δίκα	*di/ka	δίκη	di/kh	n-s---fn-
Δίκα	*di/ka	δίκη	di/kh	n-s---fv-
Δίκας	*di/kas	Δίκη	*di/kh	n-p---fa-
Δίκας	*di/kas	Δίκη	*di/kh	n-s---fg-
Δίκας	*di/kas	δίκη	di/kh	n-p---fa-
Δίκας	*di/kas	δίκη	di/kh	n-s---fg-
Δίκην	*di/khn	Δίκη	*di/kh	n-s---fa-
Δίκην	*di/khn	δίκη	di/kh	n-s---fa-
Εὐρίπου	*eu)ri/pou	Εὔριπος	*eu)/ripos	n-s---mg-
Εὐρίπου	*eu)ri/pou	εὔριπος	eu)/ripos	n-s---mg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Ζῆνα	*zh=na	Ζεύς	*zeu/s	n-s---ma-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nn-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nv-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---na-
Θράσος	*qra/sos	Θράσεος	*qra/seos	n-s---nn-
Θράσος	*qra/sos	Θράσεος	*qra/seos	n-s---nv-
Θράσος	*qra/sos	Θράσεος	*qra/seos	n-s---na-
Θράσος	*qra/sos	θράσος	qra/sos	n-s---nn-
Θράσος	*qra/sos	θράσος	qra/sos	n-s---nv-
Θράσος	*qra/sos	θράσος	qra/sos	n-s---na-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---ng-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρᾷξ	*qra=|c	a-p---ng-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---fg-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---mg-
Θρῃκίων	*qrh|ki/wn	Θρῄκιος	*qrh/|kios	a-p---ng-
Θρῄκιαι	*qrh/|kiai	Θρᾷξ	*qra=|c	a-p---fn-
Θρῄκιαι	*qrh/|kiai	Θρᾷξ	*qra=|c	a-p---fv-
Θρῄκιαι	*qrh/|kiai	Θρᾳκία	*qra|ki/a	n-p---fn-
Θρῄκιαι	*qrh/|kiai	Θρᾳκία	*qra|ki/a	n-p---fv-
Θρῄκιαι	*qrh/|kiai	Θρῄκιος	*qrh/|kios	a-p---fn-
Θρῄκιαι	*qrh/|kiai	Θρῄκιος	*qrh/|kios	a-p---fv-
Θυέστην	*que/sthn	Θυέστης	*que/sths	n-s---ma-
Θυέστην	*que/sthn	θυέστης	que/sths	n-s---ma-
Θυέστης	*que/sths	Θυέστης	*que/sths	n-s---mn-
Θυέστης	*que/sths	θυέστης	que/sths	n-s---mn-
Θυέστου	*que/stou	Θυέστης	*que/sths	n-s---mg-
Θυέστου	*que/stou	θύεστον	qu/eston	n-s---ng-
Θυέστου	*que/stou	θυέστης	que/sths	n-s---mg-
Κασάνδραν	*kasa/ndran	Κασσάνδρη	*kassa/ndrh	n-s---fa-
Κιθαιρῶνος	*kiqairw=nos	Κιθαιρών	*kiqairw/n	n-s---mg-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fv-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fa-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fv-
Κλυταιμήστρᾳ	*klutaimh/stra|	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fd-
Κωκυτόν	*kwkuto/n	Κωκυτός	*kwkuto/s	n-s---ma-
Κωκυτόν	*kwkuto/n	Κωκυτός	*kwkuto/s	n-s---ma-
Κάλχαντος	*ka/lxantos	Κάλχας	*ka/lxas	n-s---mg-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-s---fg-
Λοξίαν	*loci/an	Λοξίας	*loci/as	n-s---ma-
Λοξίαν	*loci/an	Λοξίας	*loci/as	n-s---ma-
Λοξίου	*loci/ou	Λοξίας	*loci/as	n-s---mg-
Λήδας	*lh/das	Λήδη	*lh/dh	n-s---fg-
Λήμνου	*lh/mnou	Λῆμνος	*lh=mnos	n-s---fg-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---nn-
