Αἰγεΐδη	*ai)gei+/dh	Αἰγεΐδης	*ai)gei/+dhs	n-s---mv-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλός	*ai)twlo/s	a-p---md-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλός	*ai)twlo/s	a-p---nd-
Αἰτωλοῖς	*ai)twloi=s	Αἰτωλοί	*ai)twloi/	n-p---md-
Βερέσχεθοί	*bere/sxeqoi/	βερέσχεθοι	bere/sxeqoi	n-p---mn-
Βερέσχεθοί	*bere/sxeqoi/	βερέσχεθοι	bere/sxeqoi	n-p---mv-
Βερέσχεθοί	*bere/sxeqoi/	βερέσχεθος	bere/sxeqos	n-p---mn-
Βερέσχεθοί	*bere/sxeqoi/	βερέσχεθος	bere/sxeqos	n-p---mv-
Βοιωτοῖς	*boiwtoi=s	Βοιωτός	*boiwto/s	n-p---md-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	n-p---mg-
Βυρσίνης	*bursi/nhs	Βυρσίνη	*bursi/nh	n-s---fg-
Βυρσίνης	*bursi/nhs	βύρσινος	bu/rsinos	a-s---fg-
Βυρσίνης	*bursi/nhs	βυρσίνη	bursi/nh	n-s---fg-
Βάκι	*ba/ki	Βάκις	*ba/kis	n-s---fv-
Βάκιδος	*ba/kidos	Βάκις	*ba/kis	n-s---fg-
Βάκις	*ba/kis	Βάκις	*ba/kis	n-s---fn-
Γεραίστιε	*gerai/stie	Γεραίστιος	*gerai/stios	n-s---mv-
Γλάνι	*gla/ni	Γλάνις	*gla/nis	n-s---fv-
Γλάνι	*gla/ni	γλάνις	gla/nis	n-s---fv-
Γλάνι	*gla/ni	γλάνις	gla/nis	n-s---fd-
Γλάνιδος	*gla/nidos	Γλάνις	*gla/nis	n-s---fg-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---fn-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---fv-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---fa-
