’	'	ἒ	e)\	x--------
Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
Αἰγίσθῳ	*ai)gi/sqw|	Αἴγισθος	*ai)/gisqos	n-s---md-
Αἴγισθον	*ai)/gisqon	Αἴγισθος	*ai)/gisqos	n-s---ma-
Αἴγισθος	*ai)/gisqos	Αἴγισθος	*ai)/gisqos	n-s---mn-
Αἶσα	*ai)=sa	Αἶσα	*ai)=sa	n-s---fn-
Αἶσα	*ai)=sa	Αἶσα	*ai)=sa	n-s---fv-
Αἶσα	*ai)=sa	Αἶσα	*ai)=sa	n-s---fn-
Αἶσα	*ai)=sa	Αἶσα	*ai)=sa	n-s---fv-
Γαῖαν	*gai=an	Γαῖα	*gai=a	n-s---fa-
Γαῖαν	*gai=an	γαῖα	gai=a	n-s---fa-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-s---fn-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-s---fv-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-p---fn-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-p---fv-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---nn-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---nv-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---na-
Γαῖ’	*gai='	Γαῖος	*gai=os	n-s---mv-
Γαῖ’	*gai='	γαῖα	gai=a	n-s---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-s---fv-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fv-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fv-
Γοργόνων	*gorgo/nwn	Γοργόνες	*gorgo/nes	n-p---fg-
Γοργόνων	*gorgo/nwn	Γοργών	*gorgw/n	n-p---fg-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fv-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fa-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	γε	ge	g--------
Γᾶ	*ga=	γῆ	gh=	n-d---fn-
Γᾶ	*ga=	γῆ	gh=	n-d---fv-
