’	'	ἒ	e)\	x--------
’’	''	ἀεί	a)ei/	d--------
’’	''	εἰμί	ei)mi/	v1siia---
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---mn-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---mv-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---ma-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-s---md-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-s---md-
Δημοσθένη	*dhmosqe/nh	Δημοσθένης	*dhmosqe/nhs	n-d---mn-
Δημοσθένη	*dhmosqe/nh	Δημοσθένης	*dhmosqe/nhs	n-d---mv-
Δημοσθένη	*dhmosqe/nh	Δημοσθένης	*dhmosqe/nhs	n-d---ma-
Δημοσθένη	*dhmosqe/nh	Δημοσθένης	*dhmosqe/nhs	n-s---ma-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---ma-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---mn-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---mv-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-s---mn-
Δημοσθένους	*dhmosqe/nous	Δημοσθένης	*dhmosqe/nhs	n-s---mg-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Εὐριπίδην	*eu)ripi/dhn	Εὐριπίδης	*eu)ripi/dhs	n-s---ma-
Εὐριπίδην	*eu)ripi/dhn	εὐριπίδης	eu)ripi/dhs	n-s---ma-
Εὐριπίδης	*eu)ripi/dhs	Εὐριπίδης	*eu)ripi/dhs	n-s---mn-
Εὐριπίδης	*eu)ripi/dhs	εὐριπίδης	eu)ripi/dhs	n-s---mn-
Εὐριπίδου	*eu)ripi/dou	Εὐριπίδης	*eu)ripi/dhs	n-s---mg-
Εὐριπίδου	*eu)ripi/dou	εὐριπίδης	eu)ripi/dhs	n-s---mg-
Εὐριπίδῃ	*eu)ripi/dh|	Εὐριπίδης	*eu)ripi/dhs	n-s---md-
Εὐριπίδῃ	*eu)ripi/dh|	εὐριπίδης	eu)ripi/dhs	n-s---md-
Εὖ	*eu)=	εὖ	eu)=	d--------
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Κατά	*kata/	κατά	kata/	r--------
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---fg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ng-
Μανθάνεις	*manqa/neis	μανθάνω	manqa/nw	v2spia---
Πάνυ	*pa/nu	πάνυ	pa/nu	d--------
Σωκράτει	*swkra/tei	Σωκράτης	*swkra/ths	n-d---mn-
Σωκράτει	*swkra/tei	Σωκράτης	*swkra/ths	n-d---mv-
Σωκράτει	*swkra/tei	Σωκράτης	*swkra/ths	n-d---ma-
Σωκράτει	*swkra/tei	Σωκράτης	*swkra/ths	n-s---md-
Σωκράτει	*swkra/tei	Σωκράτης	*swkra/ths	n-s---md-
Σωκράτει	*swkra/tei	Σωκρατέω	*swkrate/w	v3siia---
Σωκράτει	*swkra/tei	Σωκρατέω	*swkrate/w	v2spma---
Σωκράτει	*swkra/tei	σωκρατέω	swkrate/w	v2spma---
Σωκράτει	*swkra/tei	σωκρατέω	swkrate/w	v3siia---
Σωκράτη	*swkra/th	Σωκράτης	*swkra/ths	n-d---mn-
Σωκράτη	*swkra/th	Σωκράτης	*swkra/ths	n-d---mv-
Σωκράτη	*swkra/th	Σωκράτης	*swkra/ths	n-d---ma-
Σωκράτη	*swkra/th	Σωκράτης	*swkra/ths	n-s---ma-
Σωκράτη	*swkra/th	Σωκράτης	*swkra/ths	n-s---mv-
Σωκράτη	*swkra/th	Σωκρατέω	*swkrate/w	v3siia---
Σωκράτη	*swkra/th	Σωκρατέω	*swkrate/w	v2spma---
Σωκράτη	*swkra/th	σωκρατέω	swkrate/w	v2spma---
Σωκράτη	*swkra/th	σωκρατέω	swkrate/w	v3siia---
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---ma-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---mn-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-p---mv-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-s---mn-
Σωκράτης	*swkra/ths	Σωκράτης	*swkra/ths	n-s---mn-
Σωκράτης	*swkra/ths	Σωκρατέω	*swkrate/w	v2siia---
Σωκράτης	*swkra/ths	σωκρατέω	swkrate/w	v2siia---
Σωκράτους	*swkra/tous	Σωκράτης	*swkra/ths	n-s---mg-
Σώκρατες	*sw/krates	Σωκράτης	*swkra/ths	n-s---mv-
αἰγῶν	ai)gw=n	αἴξ	ai)/c	n-p---mg-
αἰγῶν	ai)gw=n	αἴξ	ai)/c	n-p---fg-
αἰξί	ai)ci/	αἴξ	ai)/c	n-p---md-
αἰξί	ai)ci/	αἴξ	ai)/c	n-p---fd-
αἰσθανόμενοι	ai)sqano/menoi	αἰσθάνομαι	ai)sqa/nomai	v-pppmmn-
αἰσθανόμενοι	ai)sqano/menoi	αἰσθάνομαι	ai)sqa/nomai	v-pppmmv-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	a-p---mn-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	a-p---mv-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	n-p---mn-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	n-p---mv-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	n-p---fn-
αἰσχροί	ai)sxroi/	αἰσχρός	ai)sxro/s	n-p---fv-
