urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.1.text.token.4	’γώ	'gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:27.1.text.token.3	βάρος	ba/ros	βάρος	ba/ros	urn:cite2:hmt:lsj.chicago_md:n19381	n-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:27.1.text.token.4	τοῦθ’	tou=q'	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:27.1.text.token.5	ὅ	o(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.11	Δί’	*di/'	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.2	δῆθ’	dh=q'	δῆτα	dh=ta	urn:cite2:hmt:lsj.chicago_md:n24506	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.6	’γώ	'gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.1	οὐκ	ou)k	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.4	ὁ	o(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.5	δ’	d'	δέ	de/	urn:cite2:hmt:lsj.chicago_md:n23596	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.6	ὦμος	w)=mos	ὦμος	w)=mos	urn:cite2:hmt:lsj.chicago_md:n116218	n-s---mn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.8	πιέζεται	pie/zetai	πιέζω	pie/zw	urn:cite2:hmt:lsj.chicago_md:n83057	v3spie---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.1	σύ	su/	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----n-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.10	ὠφελεῖν	w)felei=n	ὠφελέω	w)fele/w	urn:cite2:hmt:lsj.chicago_md:n116470	v--pna---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.2	δ’	d'	δέ	de/	urn:cite2:hmt:lsj.chicago_md:n23596	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.3	οὖν	ou)=n	οὖν	ou)=n	urn:cite2:hmt:lsj.chicago_md:n75887	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.4	ἐπειδή	e)peidh/	ἐπεί	e)pei/	urn:cite2:hmt:lsj.chicago_md:n38466	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.5	τόν	to/n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.6	ὄνον	o)/non	ὄνος	o)/nos	urn:cite2:hmt:lsj.chicago_md:n74165	n-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.7	οὐ	ou)	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.8	φῄς	fh/|s	φημί	fhmi/	urn:cite2:hmt:lsj.chicago_md:n110639	v2spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.9	σ’	s'	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----a-
