token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Euripides, Helen	Euripides, Helen	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2026:aristophanes_project	urn:cite2:furman:cex.2026:aristophanes_project	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:	line/speech/speaker,line/speech/text	line/speech/speaker,line/speech/text	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:7.1.text.token1	Ψαμάθην	Ψαμάθην	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:7.1.text.token6	Αἰακοῦ	Αἰακοῦ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:9.1.text.token1	Θεοκλύμενον	Θεοκλύμενον	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:9.1.text.token7	σέβων	σέβων	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:11.1.text.token1	Εἰδώ	Εἰδώ	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:13.1.text.token3	Θεονόην	Θεονόην	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:17.1.text.token5	Τυνδάρεως	Τυνδάρεως	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:19.1.text.token1	Λήδαν	Λήδαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:23.1.text.token8	πέρι	πέρι	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:29.1.text.token7	Πάρις	Πάρις	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:34.1.text.token5	ἄπο	ἄπο	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:48.1.text.token3	σῴσαιμι	σῴσαιμι	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:52.1.text.token7	Σκαμανδρίοις	Σκαμανδρίοις	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:53.1.text.token2	ἔθανον	ἔθανον	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:59.1.text.token7	ὑποστρώσω	ὑποστρώσω	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:68.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:69.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:70.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:71.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:72.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
urn:cts:greekLit:tlg0006.tlg014.fu-sp.tok:73.1.speaker.token1	Τεῦκρος	Τεῦκρος	no_match_in_morph_dict
