Αἰγαίαις	*ai)gai/ais	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-p---fd-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-s---mg-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-s---ng-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-s---md-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-s---nd-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---md-
Αἴαντι	*ai)/anti	Αἴας	*ai)/as	urn:cite2:hmt:lsj.chicago_md:n2112	n-s---md-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	urn:cite2:hmt:lsj.chicago_md:n2112	n-s---mg-
Αἴας	*ai)/as	Αἴας	*ai)/as	urn:cite2:hmt:lsj.chicago_md:n2112	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2100	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2101	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2102	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2100	n-s---fg-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2101	n-s---fg-
Αἴας	*ai)/as	Αἶα	*ai)=a	urn:cite2:hmt:lsj.chicago_md:n2102	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	urn:cite2:hmt:lsj.chicago_md:n2100	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	urn:cite2:hmt:lsj.chicago_md:n2101	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	urn:cite2:hmt:lsj.chicago_md:n2102	n-s---fg-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fn-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---mn-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---md-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nd-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---md-
Βρομίῳ	*bromi/w|	Βρομίος	*bromi/os	urn:cite2:hmt:lsj.chicago_md:n21020	n-s---md-
Βρομίῳ	*bromi/w|	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---md-
Βρομίῳ	*bromi/w|	βρόμιος	bro/mios	urn:cite2:hmt:lsj.chicago_md:n21020	a-s---nd-
Βάκχη	*ba/kxh	Βάκχη	*ba/kxh	urn:cite2:hmt:lsj.chicago_md:n19183	n-s---fn-
Βάκχη	*ba/kxh	Βάκχη	*ba/kxh	urn:cite2:hmt:lsj.chicago_md:n19183	n-s---fv-
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	urn:cite2:hmt:lsj.chicago_md:n19167	v2spma---
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	urn:cite2:hmt:lsj.chicago_md:n19167	v2spma---
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	urn:cite2:hmt:lsj.chicago_md:n19167	v3siia---
Γαλάνεια	*gala/neia	γαλήνη	galh/nh	urn:cite2:hmt:lsj.chicago_md:n21501	n-s---fn-
Γαλάνεια	*gala/neia	γαλήνη	galh/nh	urn:cite2:hmt:lsj.chicago_md:n21501	n-s---fv-
Γοργῶπις	*gorgw=pis	γοργωπός	gorgwpo/s	urn:cite2:hmt:lsj.chicago_md:n22696	n-s---fn-
Γοργῶπις	*gorgw=pis	γοργωπός	gorgwpo/s	urn:cite2:hmt:lsj.chicago_md:n22696	n-s---fn-
Δαναῶν	*danaw=n	Δαναοί	*danaoi/	urn:cite2:hmt:lsj.chicago_md:n23415	n-p---mg-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	urn:cite2:hmt:lsj.chicago_md:n23464	n-s---mg-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24511	n-s----g-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24512	n-s----g-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24513	n-s----g-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24511	n-s----d-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24512	n-s----d-
Δηοῖ	*dhoi=	Δηώ	*dhw/	urn:cite2:hmt:lsj.chicago_md:n24513	n-s----d-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-s---mg-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-s---mg-
Διοσκόρων	*diosko/rwn	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mg-
Διοσκόρων	*diosko/rwn	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mg-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	urn:cite2:hmt:lsj.chicago_md:n27138	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	d--------
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mv-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	urn:cite2:hmt:lsj.chicago_md:n27312	n-p---mv-
Διώνης	*diw/nhs	Διώνη	*diw/nh	urn:cite2:hmt:lsj.chicago_md:n27770	n-s---fg-
Δίοισιν	*di/oisin	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nd-
Δίοισιν	*di/oisin	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nd-
Δίοισιν	*di/oisin	Δίος	*di/os	urn:cite2:hmt:lsj.chicago_md:n27293	n-p---md-
Δίοισιν	*di/oisin	Δίος	*di/os	urn:cite2:hmt:lsj.chicago_md:n27294	n-p---md-
Δίοισιν	*di/oisin	Δίος	*di/os	urn:cite2:hmt:lsj.chicago_md:n27295	n-p---md-
Δίοισιν	*di/oisin	Δίος	*di/os	urn:cite2:hmt:lsj.chicago_md:n27296	n-p---md-
Δίοισιν	*di/oisin	Δῖα	*di=a	urn:cite2:hmt:lsj.chicago_md:n24517	n-p---nd-
Δίοισιν	*di/oisin	Δῖα	*di=a	urn:cite2:hmt:lsj.chicago_md:n24518	n-p---nd-
Δίοισιν	*di/oisin	Δῖον	*di=on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nd-
Δίοισιν	*di/oisin	Δῖον	*di=on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nd-
Δίοισιν	*di/oisin	Δῖος	*di=os	urn:cite2:hmt:lsj.chicago_md:n27293	n-p---md-
Δίοισιν	*di/oisin	Δῖος	*di=os	urn:cite2:hmt:lsj.chicago_md:n27294	n-p---md-
Δίοισιν	*di/oisin	Δῖος	*di=os	urn:cite2:hmt:lsj.chicago_md:n27295	n-p---md-
Δίοισιν	*di/oisin	Δῖος	*di=os	urn:cite2:hmt:lsj.chicago_md:n27296	n-p---md-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24292	v-pppamd-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24293	v-pppamd-
