’	'	ἒ	e)\	x--------
’’	''	ἀεί	a)ei/	d--------
’’	''	εἰμί	ei)mi/	v1siia---
Αἰγυπτιακοῖς	*ai)guptiakoi=s	Αἰγυπτιακός	*ai)guptiako/s	a-p---md-
Αἰγυπτιακοῖς	*ai)guptiakoi=s	Αἰγυπτιακός	*ai)guptiako/s	a-p---nd-
Αἰγυπτιακοῖς	*ai)guptiakoi=s	Αἰγυπτιακός	*ai)guptiako/s	a-p---md-
Αἰγυπτιακοῖς	*ai)guptiakoi=s	Αἰγυπτιακός	*ai)guptiako/s	a-p---nd-
Αἰγυπτίοις	*ai)gupti/ois	Αἰγύπτιος	*ai)gu/ptios	a-p---md-
Αἰγυπτίοις	*ai)gupti/ois	Αἰγύπτιος	*ai)gu/ptios	a-p---nd-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v1siia---
Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Αἰόλῳ	*ai)o/lw|	Αἴολος	*ai)/olos	n-s---md-
Αἰόλῳ	*ai)o/lw|	αἰόλος	ai)o/los	a-s---md-
Αἰόλῳ	*ai)o/lw|	αἰόλος	ai)o/los	a-s---nd-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	n-s---mg-
Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Αἴολον	*ai)/olon	Αἴολος	*ai)/olos	n-s---ma-
Αἴολος	*ai)/olos	Αἴολος	*ai)/olos	n-s---mn-
Αὐγούστου	*au)gou/stou	Αὔγουστος	*au)/goustos	a-s---mg-
Αὐγούστου	*au)gou/stou	Αὔγουστος	*au)/goustos	a-s---ng-
Αὐγούστου	*au)gou/stou	Αὔγουστος	*au)/goustos	n-s---mg-
Αὐτομέδων	*au)tome/dwn	Αὐτομέδων	*au)tome/dwn	n-s---mn-
Βρισηίδα	*brishi/da	Βρισηΐς	*brishi/+s	n-s---fa-
Βάτω	*ba/tw	βάτης	ba/ths	n-s---mg-
Βάτω	*ba/tw	βάτον	ba/ton	n-d---nn-
Βάτω	*ba/tw	βάτον	ba/ton	n-d---nv-
Βάτω	*ba/tw	βάτον	ba/ton	n-d---na-
Βάτω	*ba/tw	βάτον	ba/ton	n-s---ng-
Βάτω	*ba/tw	βάτοσ1	ba/tos1	n-d---fn-
Βάτω	*ba/tw	βάτοσ1	ba/tos1	n-d---fv-
Βάτω	*ba/tw	βάτοσ1	ba/tos1	n-d---fa-
Βάτω	*ba/tw	βάτοσ1	ba/tos1	n-s---fg-
Βάτω	*ba/tw	βάτοσ2	ba/tos2	n-d---mn-
Βάτω	*ba/tw	βάτοσ2	ba/tos2	n-d---mv-
Βάτω	*ba/tw	βάτοσ2	ba/tos2	n-d---ma-
Βάτω	*ba/tw	βάτοσ2	ba/tos2	n-s---mg-
Γαλιλαῖοι	*galilai=oi	Γαλιλαῖος	*galilai=os	a-p---mn-
Γαλιλαῖοι	*galilai=oi	Γαλιλαῖος	*galilai=os	a-p---mv-
Γελλίῳ	*gelli/w|	Γέλλιος	*ge/llios	n-s---md-
Γνῶθι	*gnw=qi	γιγνώσκω	gignw/skw	v2sama---
Γραψάτω	*graya/tw	γράφω	gra/fw	v3sama---
Γυάροις	*gua/rois	Γύαρος	*gu/aros	n-p---md-
Γυάρων	*gua/rwn	Γύαρος	*gu/aros	n-p---mg-
Γάλβα	*ga/lba	Γάλβα	*ga/lba	n-s---mn-
Γάλλους	*ga/llous	Γάλλος	*ga/llos	n-p---ma-
Γέτας	*ge/tas	Γέται	*ge/tai	n-p---ma-
Γύαρα	*gu/ara	Γύαρα	*gu/ara	n-s---fn-
Γύαρα	*gu/ara	Γύαρα	*gu/ara	n-s---fv-
Δαναός	*danao/s	Δαναός	*danao/s	n-s---mn-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---ma-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---mn-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-p---mv-
Δημοσθένης	*dhmosqe/nhs	Δημοσθένης	*dhmosqe/nhs	n-s---mn-
Δημήτηρ	*dhmh/thr	Δημήτηρ	*dhmh/thr	n-s---fn-
Δημήτριος	*dhmh/trios	Δημ́ητριος	*dhm/htrios	n-s---mn-
Δημήτριος	*dhmh/trios	Δημήτριος	*dhmh/trios	n-s---mn-
Δημήτριος	*dhmh/trios	Δημήτριος	*dhmh/trios	n-s---fn-
Δημήτριος	*dhmh/trios	Δημήτριος	*dhmh/trios	n-s---mn-
Δηίφοβος	*dhi/fobos	Δηΐφοβος	*dhi/+fobos	n-s---mn-
Διογένει	*dioge/nei	Διογένης	*dioge/nhs	n-d---mn-
Διογένει	*dioge/nei	Διογένης	*dioge/nhs	n-d---mv-
Διογένει	*dioge/nei	Διογένης	*dioge/nhs	n-d---ma-
Διογένει	*dioge/nei	Διογένης	*dioge/nhs	n-s---md-
Διογένει	*dioge/nei	Διογένης	*dioge/nhs	n-s---md-
Διογένης	*dioge/nhs	Διογένης	*dioge/nhs	n-p---ma-
Διογένης	*dioge/nhs	Διογένης	*dioge/nhs	n-p---mn-
Διογένης	*dioge/nhs	Διογένης	*dioge/nhs	n-p---mv-
Διογένης	*dioge/nhs	Διογένης	*dioge/nhs	n-s---mn-
Διογένης	*dioge/nhs	Διογένης	*dioge/nhs	n-s---mn-
Διογένους	*dioge/nous	Διογένης	*dioge/nhs	n-s---mg-
Διοσκόρους	*diosko/rous	Διόσκοροι	*dio/skoroi	n-p---ma-
Διοσκόρους	*diosko/rous	Διόσκοροι	*dio/skoroi	n-p---ma-
Διί	*dii/	Ζεύς	*zeu/s	n-s---md-
Διόγενες	*dio/genes	Διογένης	*dioge/nhs	n-s---mv-
Διόδωρος	*dio/dwros	Διόδωρος	*dio/dwros	n-s---mn-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δοκεῖ	*dokei=	δοκέω	doke/w	v2spie---
Δοκεῖ	*dokei=	δοκέω	doke/w	v3spia---
Δοκεῖ	*dokei=	δοκεύς	dokeu/s	n-s---md-
Δομιτιανός	*domitiano/s	Δομιτιανός	*domitiano/s	n-s---mn-
