Αὐτομέδων	*au)tome/dwn	none-found	n-s---mn-
Βρισηίδα	*brishi/+s	none-found	n-s---fa-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mn-
Γαλιλαῖοι	*galilai=os	none-found	a-p---mv-
Γελλίῳ	*ge/llios	none-found	n-s---md-
Γυάροις	*gu/aros	none-found	n-p---md-
Γυάρων	*gu/aros	none-found	n-p---mg-
Γάλβα	*ga/lba	none-found	n-s---mn-
Γέτας	*ge/tai	none-found	n-p---ma-
Γύαρα	*gu/ara	none-found	n-s---fn-
Γύαρα	*gu/ara	none-found	n-s---fv-
Δαναός	*danao/s	none-found	n-s---mn-
Δημοσθένης	*dhmosqe/nhs	none-found	n-p---ma-
Δημοσθένης	*dhmosqe/nhs	none-found	n-p---mn-
Δημοσθένης	*dhmosqe/nhs	none-found	n-p---mv-
Δημοσθένης	*dhmosqe/nhs	none-found	n-s---mn-
Διόδωρος	*dio/dwros	none-found	n-s---mn-
Δομιτιανός	*domitiano/s	none-found	n-s---mn-
Δομιτιανός	*domitiano/s	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Δίρκης	*di/rkh	none-found	n-s---fg-
Δίων	*di/wn	none-found	n-s---mn-
Δίων	*di/wn	none-found	n-s---mv-
Δίωνος	*di/wn	none-found	n-s---mg-
Εὐηνόν	*eu)hno/s	none-found	n-s---ma-
Εὐρυσθεύς	*eu)rusqeu/s	none-found	n-s---mn-
Εὐρυσθέως	*eu)rusqeu/s	none-found	n-s---mg-
Εὐρυσθέως	*eu)rusqeu/s	none-found	n-s---mg-
Εὐρυσθέως	*eu)rusqeu/s	none-found	n-s---mn-
Εὐφράτης	*eu)fra/ths	none-found	n-s---mn-
Ζήνων	*zh/nwn	none-found	n-s---mn-
Ζήνων	*zh/nwn	none-found	n-s---mv-
Ζήνωνι	*zh/nwn	none-found	n-s---md-
Ζήνωνος	*zh/nwn	none-found	n-s---mg-
Θερσίτην	*qersi/ths	none-found	n-s---ma-
Θερσίτης	*qersi/ths	none-found	n-s---mn-
Θετταλίαν	*qessali/h	none-found	n-s---fa-
Θηβαίους	*qhbai=os	none-found	a-p---ma-
Θηβαῖοι	*qhbai=os	none-found	a-p---mn-
Θηβαῖοι	*qhbai=os	none-found	a-p---mv-
Θρασωνίδης	*qraswni/dhs	none-found	n-s---mn-
Θρασέας	*qrase/as	none-found	n-s---mn-
Θέωνος	*qe/wn	none-found	n-s---mg-
Καλλικλέους	*kalliklh=s	none-found	n-s---mg-
Κασσιόπης	*kassio/ph	none-found	n-s---fg-
Κασσίου	*ka/ssios	none-found	n-s---mg-
Καίσαρα	*kaisa/ras	none-found	n-s---mv-
Καίσαρα	*kaisa/ras	none-found	n-s---mn-
Κιθαιρών	*kiqairw/n	none-found	n-s---mn-
Κιθαιρών	*kiqairw/n	none-found	n-s---mv-
Κικόνεσσι	*ki/kones	none-found	n-p---md-
Κλεάνθην	*kle/anqhs	none-found	n-s---ma-
Κλεάνθην	*klea/nqhs	none-found	n-s---ma-
Κλεάνθην	*klea/nqhs	none-found	n-s---ma-
Κλεάνθης	*kle/anqhs	none-found	n-s---mn-
Κλεάνθης	*klea/nqhs	none-found	n-s---mn-
Κλεάνθης	*klea/nqhs	none-found	n-s---mn-
Κλεάνθους	*klea/nqhs	none-found	n-s---mg-
