Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
Αἰγίσθῳ	*ai)gi/sqw|	Αἴγισθος	*ai)/gisqos	n-s---md-
Αἰνιάν	*ai)nia/n	Αἰνιάν	*ai)nia/n	n-s---mn-
Αἰνιάν	*ai)nia/n	Αἰνιάν	*ai)nia/n	n-s---mv-
Αἰνιᾶνος	*ai)nia=nos	Αἰνιάν	*ai)nia/n	n-s---mg-
Αἰτωλίας	*ai)twli/as	Αἰτώλιος	*ai)tw/lios	a-p---fa-
Αἰτωλίας	*ai)twli/as	Αἰτώλιος	*ai)tw/lios	a-s---fg-
Αἰτωλίας	*ai)twli/as	Αἰτωλία	*ai)twli/a	n-p---fa-
Αἰτωλίας	*ai)twli/as	Αἰτωλία	*ai)twli/a	n-s---fg-
Αἰτωλίας	*ai)twli/as	Αἰτωλίη	*ai)twli/h	n-p---fa-
Αἰτωλίας	*ai)twli/as	Αἰτωλίη	*ai)twli/h	n-s---fg-
Αἴγισθε	*ai)/gisqe	Αἴγισθος	*ai)/gisqos	n-s---mv-
Αἴγισθον	*ai)/gisqon	Αἴγισθος	*ai)/gisqos	n-s---ma-
Αἴγισθος	*ai)/gisqos	Αἴγισθος	*ai)/gisqos	n-s---mn-
Αἴγισθόν	*ai)/gisqo/n	Αἴγισθος	*ai)/gisqos	n-s---ma-
Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
Βαρκαίοις	*barkai/ois	Βαρκαῖοι	*barkai=oi	n-p---md-
Βαρκαίοις	*barkai/ois	Βαρκαῖος	*barkai=os	n-p---md-
Βαρκαίοις	*barkai/ois	Βαρκαῖος	*barkai=os	a-p---md-
Βαρκαίοις	*barkai/ois	Βαρκαῖος	*barkai=os	a-p---nd-
Βοιωτός	*boiwto/s	Βοιωτός	*boiwto/s	n-s---mn-
Δελφικῶν	*delfikw=n	Δελφικός	*delfiko/s	a-p---fg-
Δελφικῶν	*delfikw=n	Δελφικός	*delfiko/s	a-p---mg-
Δελφικῶν	*delfikw=n	Δελφικός	*delfiko/s	a-p---ng-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fv-
Δίκα	*di/ka	Δίκη	*di/kh	n-d---fa-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fn-
Δίκα	*di/ka	Δίκη	*di/kh	n-s---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fn-
Δίκα	*di/ka	δίκη	di/kh	n-d---fv-
Δίκα	*di/ka	δίκη	di/kh	n-d---fa-
Δίκα	*di/ka	δίκη	di/kh	n-s---fn-
Δίκα	*di/ka	δίκη	di/kh	n-s---fv-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θεσσαλάς	*qessala/s	Θεσσαλός	*qessalo/s	a-p---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	n-s---fa-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fn-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fv-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fa-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fn-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fv-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρη	*klutaimnh/strh	n-s---fn-
Κλυταιμνήστρα	*klutaimnh/stra	Κλυταιμνήστρη	*klutaimnh/strh	n-s---fv-
Κρισαῖον	*krisai=on	Κρισαῖος	*krisai=os	a-s---ma-
Κρισαῖον	*krisai=on	Κρισαῖος	*krisai=os	a-s---nn-
Κρισαῖον	*krisai=on	Κρισαῖος	*krisai=os	a-s---nv-
Κρισαῖον	*krisai=on	Κρισαῖος	*krisai=os	a-s---na-
Κρῖσαν	*kri=san	Κρῖσα	*kri=sa	n-s---fa-
Λητῴα	*lhtw/|a	Λητῷος	*lhtw=|os	a-s---fn-
Λητῴα	*lhtw/|a	Λητῷος	*lhtw=|os	a-s---fv-
Λοξίου	*loci/ou	Λοξίας	*loci/as	n-s---mg-
Λίβυες	*li/bues	Λίβυς	*li/bus	n-p---mn-
Λίβυες	*li/bues	Λίβυς	*li/bus	n-p---mv-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	n-s---fn-
Λύκειος	*lu/keios	λύκειος	lu/keios	n-s---mn-
Λύκειος	*lu/keios	λύκειος	lu/keios	n-s---fn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---nn-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---nv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-s---mv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-s---fv-
Λύκει’	*lu/kei'	Λυκείη	*lukei/h	n-p---fn-
Λύκει’	*lu/kei'	Λυκείη	*lukei/h	n-p---fv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---nn-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---nv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---nn-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---nv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-s---mv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-s---fv-
Λύκει’	*lu/kei'	λυκεία	lukei/a	n-p---fn-
Λύκει’	*lu/kei'	λυκεία	lukei/a	n-p---fv-
Μαίας	*mai/as	Μάιος	*ma/ios	a-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	n-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	n-s---fg-
Μαίας	*mai/as	μαῖα	mai=a	n-p---fa-
Μαίας	*mai/as	μαῖα	mai=a	n-s---fg-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	n-s---mg-
Μυκηναίοισιν	*mukhnai/oisin	Μυκηναῖος	*mukhnai=os	a-p---md-
Μυκηναίοισιν	*mukhnai/oisin	Μυκηναῖος	*mukhnai=os	a-p---nd-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---fg-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---mg-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---ng-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	n-p---fa-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	n-s---fg-
Μυρτίλος	*murti/los	Μυρτίλος	*murti/los	n-s---mn-
Μάγνης	*ma/gnhs	Μάγνης	*ma/gnhs	n-s---mn-
Νιόβα	*nio/ba	Νιόβη	*nio/bh	n-s---fn-
Νιόβα	*nio/ba	Νιόβη	*nio/bh	n-s---fv-
Νέμεσι	*ne/mesi	Νέμεσις	*ne/mesis	n-s---fv-
Νέμεσι	*ne/mesi	νέμεσις	ne/mesis	n-s---fv-
Νέμεσι	*ne/mesi	νέμος	ne/mos	n-p---nd-
Πελοπιδῶν	*pelopidw=n	Πελοπίδης	*pelopi/dhs	n-p---mg-
Περσεφόνης	*persefo/nhs	Περσεφόνη	*persefo/nh	n-s---fg-
Πυθικοῖσιν	*puqikoi=sin	Πυθικός	*puqiko/s	a-p---md-
Πυθικοῖσιν	*puqikoi=sin	Πυθικός	*puqiko/s	a-p---nd-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---ma-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---nn-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---nv-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---na-
Πυλάδη	*pula/dh	Πυλάδης	*pula/dhs	n-s---mv-
Πέλοπος	*pe/lopos	Πέλοψ	*pe/loy	n-s---mg-
Σπάρτης	*spa/rths	Σπάρτη	*spa/rth	n-s---fg-
Σπάρτης	*spa/rths	σπάρτη	spa/rth	n-s---fg-
Στρόφιος	*stro/fios	Στρόφιος	*stro/fios	n-s---mn-
Στρόφιος	*stro/fios	στρόφιος	stro/fios	n-s---mn-
Στρόφιος	*stro/fios	στρόφις	stro/fis	n-s---mg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Φανοτεύς	*fanoteu/s	Φανοτεύς	*fanoteu/s	n-s---mn-
Φανοτέως	*fanote/ws	Φανοτεύς	*fanoteu/s	n-s---mg-
Φανοτέως	*fanote/ws	Φανοτεύς	*fanoteu/s	n-s---mg-
Φανοτέως	*fanote/ws	Φανοτεύς	*fanoteu/s	n-s---mn-
Φοῖβε	*foi=be	Φοῖβος	*foi=bos	n-s---mv-
Φοῖβε	*foi=be	φοῖβος	foi=bos	a-s---mv-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φωκεύς	*fwkeu/s	Φωκεύς	*fwkeu/s	n-s---mn-
Φωκεύς	*fwkeu/s	φωκεύς	fwkeu/s	n-s---mn-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	φώκη	fw/kh	n-p---fg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	n-p---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	n-s---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	n-s---mg-
Φωκέως	*fwke/ws	Φωκεύς	*fwkeu/s	n-s---mn-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	n-s---mg-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	n-s---mg-
Φωκέως	*fwke/ws	φωκεύς	fwkeu/s	n-s---mn-
Φωκῆς	*fwkh=s	Φωκᾶς	*fwka=s	n-s---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	n-p---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	n-p---mn-
Φωκῆς	*fwkh=s	Φωκεύς	*fwkeu/s	n-p---mv-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	n-p---mn-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	n-p---mn-
Φωκῆς	*fwkh=s	φωκεύς	fwkeu/s	n-p---mv-
Χρυσόθεμιν	*xruso/qemin	Χρυσόθεμις	*xruso/qemis	n-s---fa-
Χρυσόθεμιν	*xruso/qemin	Χρυσόθεμις	*xruso/qemis	n-s---fa-
Χρυσόθεμις	*xruso/qemis	Χρυσόθεμις	*xruso/qemis	n-s---fn-
Χρυσόθεμις	*xruso/qemis	Χρυσόθεμις	*xruso/qemis	n-s---fn-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	n-s---mn-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	n-s---fn-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰδώς	ai)dw/s	αἰδώς	ai)dw/s	n-s---fn-
αἰεί	ai)ei/	ἀεί	a)ei/	d--------
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---ma-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---fa-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---mn-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---mv-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---fn-
αἰκεῖς	ai)kei=s	ἀικής	a)ikh/s	n-p---fv-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	n-d---fn-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	n-d---fv-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	n-d---fa-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	n-s---fn-
αἰκία	ai)ki/a	αἰκία	ai)ki/a	n-s---fv-
αἰκίαις	ai)ki/ais	αἰκία	ai)ki/a	n-p---fd-
αἰκῶς	ai)kw=s	ἀικής	a)ikh/s	x--------
αἰσθάνει	ai)sqa/nei	αἰσθάνομαι	ai)sqa/nomai	v2spim---
αἰσθέσθαι	ai)sqe/sqai	αἰσθάνομαι	ai)sqa/nomai	v--anm---
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	a-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	a-p---nd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---fd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---nd-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰσχρῶς	ai)sxrw=s	αἰσχρός	ai)sxro/s	x--------
αἰσχρῶς	ai)sxrw=s	αἰσχρός	ai)sxro/s	x--------
αἰσχίσταις	ai)sxi/stais	αἰσχρός	ai)sxro/s	a-p---fd-
αἰσχίων	ai)sxi/wn	αἶσχος	ai)=sxos	n-p---ng-
αἰσχίων	ai)sxi/wn	αἰσχρός	ai)sxro/s	a-s---mn-
αἰσχίων	ai)sxi/wn	αἰσχρός	ai)sxro/s	a-s---fn-
