Εὐφράτης	*eu)fra/ths	none-found	n-s---mn-
Ζήνων	*zh/nwn	none-found	n-s---mn-
Ζήνων	*zh/nwn	none-found	n-s---mv-
Κρίτων	*kri/twn	none-found	n-s---mn-
Κρίτων	*kri/twn	none-found	n-s---mv-
Κρίτων	*kri/twn	none-found	n-s---mn-
Κρίτων	*kri/twn	none-found	n-s---mv-
Πεπρωμένη	*peprwme/nh	none-found	n-s---fn-
Πεπρωμένη	*peprwme/nh	none-found	n-s---fv-
Πεπρωμένη	po/rw	none-found	v-srpefn-
Πεπρωμένη	po/rw	none-found	v-srpefv-
Χρυσίππου	*xru/sippos	none-found	n-s---mg-
Χρυσίππου	*xrusi/ppos	none-found	n-s---mg-
Χρύσιππον	*xru/sippos	none-found	n-s---ma-
Χρύσιππον	*xrusi/ppos	none-found	n-s---ma-
Χρύσιππος	*xru/sippos	none-found	n-s---mn-
Χρύσιππος	*xrusi/ppos	none-found	n-s---mn-
βοῆς	boei/h	none-found	n-s---fg-
διεζευγμένον	diazeu/gnumai	none-found	v-srpema-
διεζευγμένον	diazeu/gnumai	none-found	v-srpenn-
διεζευγμένον	diazeu/gnumai	none-found	v-srpenv-
διεζευγμένον	diazeu/gnumai	none-found	v-srpena-
εὐφυῶς	eu)fuw=s	none-found	d--------
θεραπείας	qerapei/h	none-found	n-p---fa-
θεραπείας	qerapei/h	none-found	n-s---fg-
θῇς	qa/zw	none-found	v2sfia---
καθαρευτέον	kaqareute/os	none-found	n-s---ma-
καθαρευτέον	kaqareute/os	none-found	n-s---fa-
καθαρευτέον	kaqareute/os	none-found	n-s---nn-
καθαρευτέον	kaqareute/os	none-found	n-s---nv-
καθαρευτέον	kaqareute/os	none-found	n-s---na-
καθισταμένων	kaqista/w	none-found	v-pppefg-
καθισταμένων	kaqista/w	none-found	v-pppemg-
καθισταμένων	kaqista/w	none-found	v-pppeng-
καθισταμένων	kaqista/w	none-found	v-pppefg-
καθισταμένων	kaqista/w	none-found	v-pppemg-
καθισταμένων	kaqista/w	none-found	v-pppeng-
κακῷ	kaka/zw	none-found	v3sfoa---
καίτοι	kai/toi	none-found	g--------
κωλύσει	kw/lu	none-found	n-d---fn-
κωλύσει	kw/lu	none-found	n-d---fv-
κωλύσει	kw/lu	none-found	n-d---fa-
κωλύσει	kw/lu	none-found	n-s---fd-
κωλύσει	kw/lu	none-found	n-s---fd-
μ’	e)gw/ge	none-found	p-s---ma-
μ’	e)gw/ge	none-found	p-s---fa-
μ’	e)gw/ge	none-found	p-s---md-
μ’	e)gw/ge	none-found	p-s---fd-
μαντεύεσθαι	manteu/w	none-found	v--pne---
μεθ’	meqo/	none-found	d--------
μεθ’	metai/	none-found	d--------
μεταληπτέον	metalhpte/os	none-found	n-s---ma-
μεταληπτέον	metalhpte/os	none-found	n-s---fa-
μεταληπτέον	metalhpte/os	none-found	n-s---nn-
μεταληπτέον	metalhpte/os	none-found	n-s---nv-
μεταληπτέον	metalhpte/os	none-found	n-s---na-
μάλιστα	ma/lista	none-found	d--------
παραβῇς	para/ptw	none-found	v2sasp---
παρέργῳ	pa/rergon	none-found	n-s---nd-
ποθ’	poto/n	none-found	n-p---nn-
ποθ’	poto/n	none-found	n-p---nv-
ποθ’	poto/n	none-found	n-p---na-
πάρεργον	pa/rergon	none-found	n-s---nn-
πάρεργον	pa/rergon	none-found	n-s---nv-
πάρεργον	pa/rergon	none-found	n-s---na-
σοῖς	se/w	none-found	v2spoa---
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
συμμολύνεσθαι	su/n-molu/nw	none-found	v--pne---
συνιδεῖν	su/n-i)de/w	none-found	v--pna---
σχῇς	sxa/w	none-found	v2spsa---
σχῇς	sxa/w	none-found	v2spia---
σχῇς	sxa/w	none-found	v2spsa---
σῆς	se/w	none-found	v2spia---
σῆς	se/w	none-found	v2siia---
σῴζεται	sw/zw	none-found	v3spie---
σῶν	se/w	none-found	v-sppamn-
ταύτῃ	tau/th|	none-found	d--------
τηλικούτων	thlikou=tos	none-found	n-p---mg-
τηλικούτων	thlikou=tos	none-found	n-p---ng-
τέθνηκεν	qnh/skw	none-found	v3sria---
τέθνηκεν	qnh/skw	none-found	v3plia---
τύπον	tu/pon	none-found	n-s---nn-
τύπον	tu/pon	none-found	n-s---nv-
τύπον	tu/pon	none-found	n-s---na-
ἀποθανεῖν	a)poqnh/skw	none-found	v--ana---
ἀποθανόντος	a)poqnh/skw	none-found	v-sapamg-
ἀποθανόντος	a)poqnh/skw	none-found	v-sapang-
ἀποθνῄσκων	a)poqnh/skw	none-found	v-sppamn-
ἀποθάνῃ	a)poqnh/skw	none-found	v2sase---
ἀποθάνῃ	a)poqnh/skw	none-found	v3sasa---
ἀπορήσεις	a)po/rhsis	none-found	n-p---fn-
ἀπορήσεις	a)po/rhsis	none-found	n-p---fv-
ἀπορήσεις	a)po/rhsis	none-found	n-p---fn-
ἀπορήσεις	a)po/rhsis	none-found	n-p---fa-
ἀπέθανεν	a)poqnh/skw	none-found	v3saia---
ἄλλου	a)/llou	none-found	d--------
ἄλυπον	a)/lupon	none-found	n-s---nn-
ἄλυπον	a)/lupon	none-found	n-s---nv-
ἄλυπον	a)/lupon	none-found	n-s---na-
Ἄνυτος	*)/anutos	none-found	n-s---mn-
ἐπανάγνωθί	e)pi/-a)nagignw/skw	none-found	v2sama---
ἐπιδεικνύει	e)pidei/knumi	none-found	v2spie---
ἐπιδεικνύει	e)pidei/knumi	none-found	v3spia---
ἐπιδεικνύειν	e)pidei/knumi	none-found	v--pna---
ἐπιδείκνυε	e)pidei/knumi	none-found	v2spma---
ἐπιδείκνυε	e)pidei/knumi	none-found	v3siia---
ἐπέχειν	e)pw/xato	none-found	v--pna---
ἐρῇ	e)ra/omai	none-found	v2spse---
ἐρῇ	e)ra/omai	none-found	v2spie---
ἐρῇ	e)ra/omai	none-found	v2spse---
ἐρῇ	e)ra/omai	none-found	v2spie---
ἐρῇ	e)re/omai	none-found	v2spse---
ἐρῇ	e)re/omai	none-found	v2spie---
ἐτῶν	e)/tai	none-found	n-p---mg-
ἑκτέον	e(kte/on	none-found	n-s---ma-
ἑκτέον	e(kte/on	none-found	n-s---nn-
ἑκτέον	e(kte/on	none-found	n-s---nv-
ἑκτέον	e(kte/on	none-found	n-s---na-
ἔξω	e)/ssomai	none-found	v2saie---
ἔργον	e)/rgnumi	none-found	v-sppamv-
ἔργον	e)/rgnumi	none-found	v-sppann-
ἔργον	e)/rgnumi	none-found	v-sppanv-
ἔργον	e)/rgnumi	none-found	v-sppana-
ἔργου	e)/rgnumi	none-found	v2siie---
ἔργων	e)/rgnumi	none-found	v-sppamn-
ἔσωθεν	e)/swqen	none-found	d--------
ἔσωθεν	sw/zw	none-found	v3paip---
ἔτ’	e)/tai	none-found	n-p---mn-
ἔτ’	e)/tai	none-found	n-p---mv-
Ἐτεοκλέα	*)eteoklh=s	none-found	n-s---ma-
Ἐτεοκλέα	*)eteoklh=s	none-found	n-s---ma-
ἡδονῆς	h(dona/	none-found	n-s---fg-
ἡττηθῇς	h(tta/w	none-found	v2sasp---
ἡττήσῃ	h(/tthsis	none-found	n-s---fd-
ἡττήσῃ	h(tta/w	none-found	v2sasm---
ἡττήσῃ	h(tta/w	none-found	v3sasa---
ἡττήσῃ	h(tta/w	none-found	v2sfim---
ἡττήσῃ	h(tta/w	none-found	v2stie---
ἡττήσῃ	h(tta/w	none-found	v2stim---
Ἡράκλειτος	*(hra/kleitos	none-found	n-s---mn-
ὅλα	o(/loc	none-found	a-p---nn-
ὅλα	o(/loc	none-found	a-p---nv-
ὅλα	o(/loc	none-found	a-p---na-
ὅλα	o(/loc	none-found	a-d---fn-
ὅλα	o(/loc	none-found	a-d---fv-
ὅλα	o(/loc	none-found	a-d---fa-
ὅλα	o(/loc	none-found	a-s---fn-
ὅλα	o(/loc	none-found	a-s---fv-
ὅλῃ	o(/loc	none-found	a-s---fd-
ὑποκρίνασθαι	u(pokri/nomai	none-found	v--anm---
ὑποκρίνασθαί	u(pokri/nomai	none-found	v--anm---
ὑποκρίνῃ	u(pokri/nomai	none-found	v2sasm---
ὑποκρίνῃ	u(pokri/nomai	none-found	v3sasa---
ὑποκρίνῃ	u(pokri/nomai	none-found	v2spse---
ὑποκρίνῃ	u(pokri/nomai	none-found	v2spie---
ὑποκρίνῃ	u(pokri/nomai	none-found	v3spsa---
ῥᾳθυμήσῃς	r(a|qume/w	none-found	v2sasa---
