Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
κἀμοῦ	ka)mou=	ἀμόω	a)mo/w	v2spme---
κἀμοῦ	ka)mou=	ἐγώ	e)gw/	p-s---mg-
κἀμοῦ	ka)mou=	ἐγώ	e)gw/	p-s---fg-
κἀμοῦ	ka)mou=	ἐμέω	e)me/w	v2spme---
κἀμοῦ	ka)mou=	ἐμός	e)mo/s	a-s---mg-
κἀμοῦ	ka)mou=	ἐμός	e)mo/s	a-s---ng-
κἀμοῦ	ka)mou=	ἡμός	h(mo/s	a-s---mg-
κἀμοῦ	ka)mou=	ἡμός	h(mo/s	a-s---ng-
κἀμέ	ka)me/	ἁμόσ1	a(mo/s1	a-s---mv-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---ma-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---fa-
κἀμέ	ka)me/	ἐμός	e)mo/s	a-s---mv-
κἀμέ	ka)me/	ἡμός	h(mo/s	a-s---mv-
κἀναθεῖσα	ka)naqei=sa	ἀνατίθημι	a)nati/qhmi	v-sapafn-
κἀναθεῖσα	ka)naqei=sa	ἀνατίθημι	a)nati/qhmi	v-sapafv-
κἀναρίθμητος	ka)nari/qmhtos	ἀναρίθμητος	a)nari/qmhtos	n-s---mn-
κἀναρίθμητος	ka)nari/qmhtos	ἀναρίθμητος	a)nari/qmhtos	n-s---fn-
κἀνθάδ’	ka)nqa/d'	ἐνθάδε	e)nqa/de	d--------
κἀνάγει	ka)na/gei	ἀνάγω	a)na/gw	v2spie---
κἀνάγει	ka)na/gei	ἀνάγω	a)na/gw	v3spia---
κἀνάγει	ka)na/gei	ἐνάγω	e)na/gw	v2spie---
κἀνάγει	ka)na/gei	ἐνάγω	e)na/gw	v3spia---
κἀνέπνευσε	ka)ne/pneuse	ἀναπνέω	a)napne/w	v3saia---
κἀνέπνευσε	ka)ne/pneuse	ἐμπνέω	e)mpne/w	v3saia---
κἀνήρετ’	ka)nh/ret'	ἀναίρω	a)nai/rw	v3saim---
κἀνήρετ’	ka)nh/ret'	ἀνέρομαι	a)ne/romai	v3saim---
κἀνόητ’	ka)no/ht'	ἀνόητος	a)no/htos	n-p---nn-
κἀνόητ’	ka)no/ht'	ἀνόητος	a)no/htos	n-p---nv-
κἀνόητ’	ka)no/ht'	ἀνόητος	a)no/htos	n-p---na-
κἀνόητ’	ka)no/ht'	ἀνόητος	a)no/htos	n-s---mv-
κἀνόητ’	ka)no/ht'	ἀνόητος	a)no/htos	n-s---fv-
κἀνόνητα	ka)no/nhta	ἀνόνητος	a)no/nhtos	n-p---nn-
κἀνόνητα	ka)no/nhta	ἀνόνητος	a)no/nhtos	n-p---nv-
κἀνόνητα	ka)no/nhta	ἀνόνητος	a)no/nhtos	n-p---na-
κἀξελευθεροστομεῖς	ka)celeuqerostomei=s	ἐξελευθεροστομέω	e)celeuqerostome/w	v2spia---
κἀξιχνοσκοπούμενος	ka)cixnoskopou/menos	ἐξιχνοσκοπέω	e)cixnoskope/w	v-sppemn-
κἀξομοιοῦσθαι	ka)comoiou=sqai	ἐξομοιόω	e)comoio/w	v--pne---
κἀξομοιοῦσθαι	ka)comoiou=sqai	ἐξομοιόω	e)comoio/w	v--pne---
κἀπιβουλευτοῦ	ka)pibouleutou=	ἐπιβουλευτής	e)pibouleuth/s	n-s---mg-
κἀπιχαιρόντων	ka)pixairo/ntwn	ἐπιχαίρω	e)pixai/rw	v-pppamg-
κἀπιχαιρόντων	ka)pixairo/ntwn	ἐπιχαίρω	e)pixai/rw	v-pppang-
κἀπιχαιρόντων	ka)pixairo/ntwn	ἐπιχαίρω	e)pixai/rw	v3ppma---
κἀπέσκηψε	ka)pe/skhye	ἀποσκήπτω	a)poskh/ptw	v3saia---
κἀπέσκηψε	ka)pe/skhye	ἐπισκήπτω	e)piskh/ptw	v3saia---
κἀπί	ka)pi/	ἐπί	e)pi/	r--------
κἀπ’	ka)p'	Ἀπίς	*)api/s	n-s---fv-
κἀπ’	ka)p'	ἄπιοσ2	a)/pios2	n-s---fv-
κἀπ’	ka)p'	ἀπό	a)po/	r--------
κἀπ’	ka)p'	ἀπό	a)po/	r--------
κἀπ’	ka)p'	ἐπί	e)pi/	r--------
κἀρράχιζε	ka)rra/xize	ῥαχίζω	r(axi/zw	v3siia---
κἀφρόνως	ka)fro/nws	ἄφρων	a)/frwn	x--------
κἄν	ka)/n	κἀν	ka)n	c--------
κἄνθεν	ka)/nqen	ἔνθεν	e)/nqen	d--------
κἄστιν	ka)/stin	εἰμί	ei)mi/	v3spia---
κὠδύρεται	kw)du/retai	ὀδύρομαι	o)du/romai	v3sase---
κὠδύρεται	kw)du/retai	ὀδύρομαι	o)du/romai	v3spie---
κάκιστα	ka/kista	κακός	kako/s	a-p---nn-
κάκιστα	ka/kista	κακός	kako/s	a-p---nv-
κάκιστα	ka/kista	κακός	kako/s	a-p---na-
κάλει	ka/lei	καλέω	kale/w	v2spma---
κάλει	ka/lei	καλέω	kale/w	v3siia---
κάπετον	ka/peton	κάπετος	ka/petos	n-s---fa-
κάπετόν	ka/peto/n	κάπετος	ka/petos	n-s---fa-
κάρα	ka/ra	κάρ	ka/r	n-p---nn-
κάρα	ka/ra	κάρ	ka/r	n-p---nv-
κάρα	ka/ra	κάρ	ka/r	n-p---na-
κάρα	ka/ra	κάρα	ka/ra	n-p---nn-
κάρα	ka/ra	κάρα	ka/ra	n-p---nv-
κάρα	ka/ra	κάρα	ka/ra	n-p---na-
κάρα	ka/ra	κάρα	ka/ra	n-s---nn-
κάρα	ka/ra	κάρα	ka/ra	n-s---nv-
κάρα	ka/ra	κάρα	ka/ra	n-s---na-
κάρα	ka/ra	κάρα	ka/ra	n-d---fa-
κάρα	ka/ra	κάρα	ka/ra	n-d---fn-
κάρα	ka/ra	κάρα	ka/ra	n-d---fv-
κάρα	ka/ra	κάρα	ka/ra	n-d---fa-
κάρα	ka/ra	κάρα	ka/ra	n-s---fn-
κάρα	ka/ra	κάρα	ka/ra	n-s---fv-
κάρα	ka/ra	κάρον	ka/ron	n-p---nn-
κάρα	ka/ra	κάρον	ka/ron	n-p---nv-
κάρα	ka/ra	κάρον	ka/ron	n-p---na-
κάρτα	ka/rta	κάρτα	ka/rta	d--------
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nn-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nv-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---na-
κάρτ’	ka/rt'	κάρτα	ka/rta	d--------
κάτοιδ’	ka/toid'	κάτοιδα	ka/toida	v1sria---
κάτοιδ’	ka/toid'	κάτοιδα	ka/toida	v3sria---
κάτοισθ’	ka/toisq'	κάτοιδα	ka/toida	v2sria---
