Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Αἰγαίαις	*ai)gai/ais	Αἰγαῖος	*ai)gai=os	a-p---fd-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---mg-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---ng-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---md-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---nd-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---md-
Αἴαντι	*ai)/anti	Αἴας	*ai)/as	n-s---md-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	n-s---mg-
Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---fn-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---mn-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	a-s---md-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	a-s---nd-
Βρομίῳ	*bromi/w|	Βρόμιος	*bro/mios	n-s---md-
Βρομίῳ	*bromi/w|	Βρομίος	*bromi/os	n-s---md-
Βρομίῳ	*bromi/w|	βρόμιος	bro/mios	a-s---md-
Βρομίῳ	*bromi/w|	βρόμιος	bro/mios	a-s---nd-
Βάκχη	*ba/kxh	Βάκχη	*ba/kxh	n-s---fn-
Βάκχη	*ba/kxh	Βάκχη	*ba/kxh	n-s---fv-
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	v2spma---
