Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
Αἰγίσθῳ	*ai)gi/sqw|	Αἴγισθος	*ai)/gisqos	n-s---md-
Αἴγισθον	*ai)/gisqon	Αἴγισθος	*ai)/gisqos	n-s---ma-
Αἴγισθος	*ai)/gisqos	Αἴγισθος	*ai)/gisqos	n-s---mn-
Αἴγισθ’	*ai)/gisq'	Αἴγισθος	*ai)/gisqos	n-s---mv-
Αἴγισθ’	*ai)/gisq'	Αἴγιστος	*ai)/gistos	n-s---mv-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---fa-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---ma-
Αὖλιν	*au)=lin	αὖλις	au)=lis	n-s---fa-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-s---fn-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-s---fv-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-p---fn-
Γαῖ’	*gai='	Γαῖα	*gai=a	n-p---fv-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---nn-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---nv-
Γαῖ’	*gai='	Γαῖον	*gai=on	n-p---na-
Γαῖ’	*gai='	Γαῖος	*gai=os	n-s---mv-
Γαῖ’	*gai='	γαῖα	gai=a	n-s---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-s---fv-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fv-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fn-
Γαῖ’	*gai='	γαῖα	gai=a	n-p---fv-
Γοργόνος	*gorgo/nos	Γοργών	*gorgw/n	n-s---fg-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fv-
