Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	n-s---fa-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v3siia---
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v2spma---
Βελλεροφόντης	*bellerofo/nths	Βελλεροφόντης	*bellerofo/nths	n-s---mn-
Βοιωτοῖς	*boiwtoi=s	Βοιωτός	*boiwto/s	n-p---md-
Βοιωτοῖσιν	*boiwtoi=sin	Βοιωτός	*boiwto/s	n-p---md-
Βοιωτίαν	*boiwti/an	Βοιώτιος	*boiw/tios	a-s---fa-
Βοιωτίαν	*boiwti/an	Βοιωτία	*boiwti/a	n-s---fa-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	n-s---nn-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	n-s---nv-
Βοιωτίδιον	*boiwti/dion	Βοιωτίδιον	*boiwti/dion	n-s---na-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	n-s---nn-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	n-s---nv-
Βοιωτίδιον	*boiwti/dion	βοιωτίδιον	boiwti/dion	n-s---na-
Βοιωτίοις	*boiwti/ois	Βοιώτιος	*boiw/tios	a-p---md-
Βοιωτίοις	*boiwti/ois	Βοιώτιος	*boiw/tios	a-p---nd-
Βοιωτίους	*boiwti/ous	Βοιώτιος	*boiw/tios	a-p---ma-
Βοιώτιε	*boiw/tie	Βοιώτιος	*boiw/tios	a-s---mv-
Βοιώτιοι	*boiw/tioi	Βοιώτιος	*boiw/tios	a-p---mn-
Βοιώτιοι	*boiw/tioi	Βοιώτιος	*boiw/tios	a-p---mv-
Βοιώτιον	*boiw/tion	Βοιώτιος	*boiw/tios	a-s---ma-
Βοιώτιον	*boiw/tion	Βοιώτιος	*boiw/tios	a-s---nn-
Βοιώτιον	*boiw/tion	Βοιώτιος	*boiw/tios	a-s---nv-
Βοιώτιον	*boiw/tion	Βοιώτιος	*boiw/tios	a-s---na-
Βοιώτιος	*boiw/tios	Βοιώτιος	*boiw/tios	a-s---mn-
Γηρυόνῃ	*ghruo/nh|	Γηρυόνης	*ghruo/nhs	n-s---md-
Γοργάσου	*gorga/sou	Γόργασος	*go/rgasos	n-s---mg-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fv-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fa-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-s---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-s---fv-
Γοργόνα	*gorgo/na	Γοργών	*gorgw/n	n-s---fa-
Γοργόν’	*gorgo/n'	Γοργόνη	*gorgo/nh	n-s---fd-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-s---fa-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-s---fd-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fn-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fv-
Γοργόν’	*gorgo/n'	Γοργών	*gorgw/n	n-d---fa-
Γέλα	*ge/la	Γέλα	*ge/la	n-d---fn-
Γέλα	*ge/la	Γέλα	*ge/la	n-d---fv-
Γέλα	*ge/la	Γέλα	*ge/la	n-d---fa-
Γέλα	*ge/la	Γέλα	*ge/la	n-s---fn-
Γέλα	*ge/la	Γέλα	*ge/la	n-s---fv-
Γέλα	*ge/la	γελάω	gela/w	v2spma---
Γέλα	*ge/la	γελάω	gela/w	v3siia---
Δεξίθεος	*deci/qeos	Δεξίθεος	*deci/qeos	n-s---mn-
Δερκέτου	*derke/tou	Δερκέτης	*derke/ths	n-s---mg-
Δεύς	*deu/s	Δεύς	*deu/s	n-s---mn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	n-s---fn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	n-s---fv-
Δικαιόπολι	*dikaio/poli	Δικαιόπολις	*dikaio/polis	n-s---mv-
Δικαιόπολι	*dikaio/poli	δικαιόπολις	dikaio/polis	n-s---fv-
Δικαιόπολιν	*dikaio/polin	Δικαιόπολις	*dikaio/polis	n-s---ma-
Δικαιόπολιν	*dikaio/polin	δικαιόπολις	dikaio/polis	n-s---fa-
Δικαιόπολις	*dikaio/polis	Δικαιόπολις	*dikaio/polis	n-s---mn-
Δικαιόπολις	*dikaio/polis	δικαιόπολις	dikaio/polis	n-s---fn-
Διοκλέα	*diokle/a	Διοκλέης	*diokle/hs	n-s---ma-
Διοκλέα	*diokle/a	Διοκλέης	*diokle/hs	n-s---ma-
Διοκλέα	*diokle/a	Διοκλῆς	*dioklh=s	n-s---ma-
Διομειαλαζόνας	*diomeialazo/nas	Διομειαλαζών	*diomeialazw/n	n-p---ma-
Διομειαλαζόνας	*diomeialazo/nas	Διομειαλαζών	*diomeialazw/n	n-p---fa-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	n-p---nn-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	n-p---nv-
Διονύσια	*dionu/sia	Διονύσια	*dionu/sia	n-p---na-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	n-p---nn-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	n-p---nv-
Διονύσια	*dionu/sia	Διονύσιον	*dionu/sion	n-p---na-
Διονύσια	*dionu/sia	Διονύσιος	*dionu/sios	a-p---nn-
Διονύσια	*dionu/sia	Διονύσιος	*dionu/sios	a-p---nv-
Διονύσια	*dionu/sia	Διονύσιος	*dionu/sios	a-p---na-
Διονύσου	*dionu/sou	Διόνυσος	*dio/nusos	n-s---mg-
Διονύσου	*dionu/sou	Διονύσος	*dionu/sos	n-s---mg-
Διόνυσε	*dio/nuse	Διόνυσος	*dio/nusos	n-s---mv-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	n-s---fg-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fv-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Εὐθυμένους	*eu)qume/nous	Εὐθυμένης	*eu)qume/nhs	n-s---mg-
Εὐριπίδη	*eu)ripi/dh	Εὐριπίδης	*eu)ripi/dhs	n-s---mv-
Εὐριπίδη	*eu)ripi/dh	εὐριπίδης	eu)ripi/dhs	n-s---mv-
Εὐριπίδην	*eu)ripi/dhn	Εὐριπίδης	*eu)ripi/dhs	n-s---ma-
Εὐριπίδην	*eu)ripi/dhn	εὐριπίδης	eu)ripi/dhs	n-s---ma-
Εὐριπίδης	*eu)ripi/dhs	Εὐριπίδης	*eu)ripi/dhs	n-s---mn-
Εὐριπίδης	*eu)ripi/dhs	εὐριπίδης	eu)ripi/dhs	n-s---mn-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	n-s---nn-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	n-s---nv-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	n-s---na-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	n-s---nn-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	n-s---nv-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	n-s---na-
Εὐφορίδης	*eu)fori/dhs	Εὐφορίδης	*eu)fori/dhs	n-s---mn-
Εὐάθλους	*eu)a/qlous	εὔαθλος	eu)/aqlos	n-p---ma-
Εὐάθλους	*eu)a/qlous	εὔαθλος	eu)/aqlos	n-p---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Θασίαν	*qasi/an	Θάσιος	*qa/sios	a-s---fa-
Θείβαθεν	*qei/baqen	Θείβαθεν	*qei/baqen	d--------
Θείβαθεν	*qei/baqen	Θήβηθεν	*qh/bhqen	d--------
Θουκυδίδην	*qoukudi/dhn	Θουκυδίδης	*qoukudi/dhs	n-s---ma-
Θουκυδίδης	*qoukudi/dhs	Θουκυδίδης	*qoukudi/dhs	n-s---mn-
Θρᾳκῶν	*qra|kw=n	Θρᾷξ	*qra=|c	n-p---mg-
Θρᾳκῶν	*qra|kw=n	Θρᾳκία	*qra|ki/a	n-p---fg-
Θρᾳξί	*qra|ci/	Θρᾷξ	*qra=|c	n-p---md-
Θρᾴκην	*qra/|khn	Θρᾳκία	*qra|ki/a	n-s---fa-
Θρᾴκης	*qra/|khs	Θρᾳκία	*qra|ki/a	n-s---fg-
Θρᾴκῃ	*qra/|kh|	Θρᾳκία	*qra|ki/a	n-s---fd-
Θρᾷκας	*qra=|kas	Θρᾷξ	*qra=|c	n-p---ma-
Θρᾷκες	*qra=|kes	Θρᾷξ	*qra=|c	n-p---mn-
Θρᾷκες	*qra=|kes	Θρᾷξ	*qra=|c	n-p---mv-
Θρᾷτταν	*qra=|ttan	Θρᾷσσα-πλ	*qra=|ssa-pl	n-s---fa-
