’	'	ἒ	e)\	x--------
Αὕτη	*au(/th	οὗτος	ou(=tos	n-s---fn-
Αὕτη	*au(/th	οὗτος	ou(=tos	n-s---fv-
Βασιλεύς	*basileu/s	βασιλεύς	basileu/s	n-s---mn-
Βηθανία	*bhqani/a	Βηθανία	*bhqani/a	n-d---fn-
Βηθανία	*bhqani/a	Βηθανία	*bhqani/a	n-d---fv-
Βηθανία	*bhqani/a	Βηθανία	*bhqani/a	n-d---fa-
Βηθανίας	*bhqani/as	Βηθανία	*bhqani/a	n-p---fa-
Βηθανίας	*bhqani/as	Βηθανία	*bhqani/a	n-s---fg-
Βηθανίᾳ	*bhqani/a|	Βηθανία	*bhqani/a	n-s---fd-
Βλασφημεῖς	*blasfhmei=s	βλασφημέω	blasfhme/w	v2spia---
Βλέπομεν	*ble/pomen	βλέπω	ble/pw	v1ppia---
Βλέπομεν	*ble/pomen	βλέπω	ble/pw	v1piia---
Βάλε	*ba/le	βάλλω	ba/llw	v2sama---
Βάλε	*ba/le	βάλλω	ba/llw	v3saia---
Βάλετε	*ba/lete	βάλλω	ba/llw	v2pama---
Βάλετε	*ba/lete	βάλλω	ba/llw	v2pasa---
Βάλετε	*ba/lete	βάλλω	ba/llw	v2paia---
Βόσκε	*bo/ske	βόσκω	bo/skw	v2spma---
Βόσκε	*bo/ske	βόσκω	bo/skw	v3siia---
Γαλιλαίαν	*galilai/an	Γαλιλαία	*galilai/a	n-s---fa-
Γαλιλαίαν	*galilai/an	Γαλιλαῖος	*galilai=os	a-s---fa-
Γαλιλαίας	*galilai/as	Γαλιλαία	*galilai/a	n-p---fa-
Γαλιλαίας	*galilai/as	Γαλιλαία	*galilai/a	n-s---fg-
Γαλιλαίας	*galilai/as	Γαλιλαῖος	*galilai=os	a-p---fa-
Γαλιλαίας	*galilai/as	Γαλιλαῖος	*galilai=os	a-s---fg-
Γαλιλαίᾳ	*galilai/a|	Γαλιλαία	*galilai/a	n-s---fd-
Γαλιλαίᾳ	*galilai/a|	Γαλιλαῖος	*galilai=os	a-s---fd-
Γαλιλαῖοι	*galilai=oi	Γαλιλαῖος	*galilai=os	a-p---mn-
Γαλιλαῖοι	*galilai=oi	Γαλιλαῖος	*galilai=os	a-p---mv-
Γεμίσατε	*gemi/sate	γεμίζω	gemi/zw	v2pama---
Γεμίσατε	*gemi/sate	γεμίζω	gemi/zw	v2paia---
Γινώσκετε	*ginw/skete	γιγνώσκω	gignw/skw	v2ppma---
Γινώσκετε	*ginw/skete	γιγνώσκω	gignw/skw	v2ppia---
Γινώσκετε	*ginw/skete	γιγνώσκω	gignw/skw	v2piia---
Γύναι	*gu/nai	γυνή	gunh/	n-s---fv-
Δαιμόνιον	*daimo/nion	δαιμόνιον	daimo/nion	n-s---nn-
Δαιμόνιον	*daimo/nion	δαιμόνιον	daimo/nion	n-s---nv-
Δαιμόνιον	*daimo/nion	δαιμόνιον	daimo/nion	n-s---na-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	a-s---ma-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	a-s---nn-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	a-s---nv-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	a-s---na-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	n-s---ma-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	n-s---fa-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	n-s---nn-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	n-s---nv-
Δαιμόνιον	*daimo/nion	δαιμόνιος	daimo/nios	n-s---na-
Δαιμόνιον	*daimo/nion	δαιμονάω	daimona/w	v3piia---
Δαιμόνιον	*daimo/nion	δαιμονάω	daimona/w	v1siia---
Δεῖ	*dei=	Δεύς	*deu/s	n-s---md-
Δεῖ	*dei=	δέομαι	de/omai	v2spie---
Δεῖ	*dei=	δέω1	de/w1	v2spie---
Δεῖ	*dei=	δέω1	de/w1	v2spma---
Δεῖ	*dei=	δέω1	de/w1	v3spia---
Δεῖ	*dei=	δέω1	de/w1	v3siia---
Δεῖ	*dei=	δέω2	de/w2	v2spie---
Δεῖ	*dei=	δέω2	de/w2	v2spma---
Δεῖ	*dei=	δέω2	de/w2	v3spia---
