Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2sama---
Αὐτός	*au)to/s	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-s---mn-
Βασιλεύς	*basileu/s	βασιλεύς	basileu/s	urn:cite2:hmt:lsj.chicago_md:n19546	n-s---mn-
Βλέπεις	*ble/peis	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2spia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2ppma---
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2ppia---
Βλέπετε	*ble/pete	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v2piia---
Βλέπω	*ble/pw	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v1spsa---
Βλέπω	*ble/pw	βλέπω	ble/pw	urn:cite2:hmt:lsj.chicago_md:n20097	v1spia---
Βροντῆς	*bronth=s	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v2spia---
Βροντῆς	*bronth=s	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v2spia---
Βροντῆς	*bronth=s	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v2sfia---
Βροντῆς	*bronth=s	βροντή	bronth/	urn:cite2:hmt:lsj.chicago_md:n21029	n-s---fg-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-d---fn-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-d---fv-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-d---fa-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-s---fd-
Δεκαπόλει	*dekapo/lei	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-s---fd-
Δεκαπόλεως	*dekapo/lews	δεκάπολις	deka/polis	urn:cite2:hmt:lsj.chicago_md:n23868	n-s---fg-
Δεῦτε	*deu=te	δεῦτε	deu=te	urn:cite2:hmt:lsj.chicago_md:n24236	d--------
Διανοίχθητι	*dianoi/xqhti	διανοίγω	dianoi/gw	urn:cite2:hmt:lsj.chicago_md:n25402	v2samp---
Διδάσκαλε	*dida/skale	διδάσκαλος	dida/skalos	urn:cite2:hmt:lsj.chicago_md:n26411	n-s---mv-
Διδάσκαλε	*dida/skale	διδάσκαλος	dida/skalos	urn:cite2:hmt:lsj.chicago_md:n26411	n-s---fv-
Διά	*dia/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Διά	*dia/	διά	dia/	urn:cite2:hmt:lsj.chicago_md:n24517	r--------
