Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	n-p---nd-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριος	qesmofo/rios	n-p---md-
Μάρτυρες	*ma/rtures	μάρτυς	ma/rtus	n-p---mn-
Μάρτυρες	*ma/rtures	μάρτυς	ma/rtus	n-p---mv-
Μάρτυρες	*ma/rtures	μάρτυς	ma/rtus	n-p---fn-
Μάρτυρες	*ma/rtures	μάρτυς	ma/rtus	n-p---fv-
Νόμος	*no/mos	Νόμος	*no/mos	n-s---mn-
Νόμος	*no/mos	νόμος	no/mos	n-s---mn-
Σώστρατος	*sw/stratos	Σώστρατος	*sw/stratos	n-s---mn-
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνη	ai)sxu/nh	n-s---fd-
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2sasm---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v3sasa---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2spse---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2spie---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v3spsa---
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fv-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fa-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fa-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fv-
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	n-s---fa-
αἰτίους	ai)ti/ous	αἴτιος	ai)/tios	a-p---ma-
αἰτίους	ai)ti/ous	αἴτιος	ai)/tios	n-p---ma-
αἰτίους	ai)ti/ous	αἴτιος	ai)/tios	n-p---fa-
αἱ	ai(	ὁ	o(	l-p---fn-
αἱ	ai(	ὁ	o(	l-p---fv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---fa-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---na-
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v3piia---
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v1siia---
αἷσπερ	ai(=sper	ὅς	o(/s	p-p---fd-
αὐτοφώρῳ	au)tofw/rw|	αὐτόφωρος	au)to/fwros	n-s---md-
αὐτοφώρῳ	au)tofw/rw|	αὐτόφωρος	au)to/fwros	n-s---fd-
αὐτοφώρῳ	au)tofw/rw|	αὐτόφωρος	au)to/fwros	n-s---nd-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτούς	au)tou/s	αὐτός	au)to/s	n-p---ma-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτάς	au)ta/s	αὐτός	au)to/s	n-p---fa-
αὐτή	au)th/	αὐτός	au)to/s	n-s---fn-
αὐτή	au)th/	αὐτός	au)to/s	n-s---fv-
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nn-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nv-
αὐτό	au)to/	αὐτός	au)to/s	n-s---na-
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτῇ	au)th=|	αὐτός	au)to/s	n-s---fd-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---ng-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---fg-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---mg-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὑτοῖς	au(toi=s	ἑαυτοῦ	e(autou=	n-p---nd-
αὑτοῖς	au(toi=s	ἑαυτοῦ	e(autou=	n-p---md-
αὔλειος	au)/leios	αὔλειος	au)/leios	a-s---mn-
αὔλειος	au)/leios	αὔλειος	au)/leios	n-s---mn-
αὔλειος	au)/leios	αὔλειος	au)/leios	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fv-
βαδίζουσαν	badi/zousan	βαδίζω	badi/zw	v-sppafa-
βασανίσῃς	basani/sh|s	βασανίζω	basani/zw	v2sasa---
βελτίστη	belti/sth	βέλτιστος	be/ltistos	a-s---fn-
βελτίστη	belti/sth	βέλτιστος	be/ltistos	a-s---fv-
βελτίστῳ	belti/stw|	βέλτιστος	be/ltistos	a-s---md-
βελτίστῳ	belti/stw|	βέλτιστος	be/ltistos	a-s---nd-
βιαζομένους	biazome/nous	βιάζω	bia/zw	v-pppema-
βιασθέντων	biasqe/ntwn	βιάζω	bia/zw	v-pappmg-
βιασθέντων	biasqe/ntwn	βιάζω	bia/zw	v-pappng-
βλάβην	bla/bhn	βλάβη	bla/bh	n-s---fa-
βλάβην	bla/bhn	βλάβος	bla/bos	n-s---na-
βλάβην	bla/bhn	βλάπτω	bla/ptw	v3paip---
βλάβην	bla/bhn	βλάπτω	bla/ptw	v1saip---
βουλομένοις	boulome/nois	βούλομαι	bou/lomai	v-pppemd-
βουλομένοις	boulome/nois	βούλομαι	bou/lomai	v-pppend-
βουλόμενος	boulo/menos	βούλομαι	bou/lomai	v-sppemn-
βούλει	bou/lei	βούλομαι	bou/lomai	v2spie---
βούληται	bou/lhtai	βούλομαι	bou/lomai	v3spse---
βούλομαι	bou/lomai	βούλομαι	bou/lomai	v1spie---
βοᾷ	boa=|	βοάω	boa/w	v2spse---
βοᾷ	boa=|	βοάω	boa/w	v2spie---
βοᾷ	boa=|	βοάω	boa/w	v3spsa---
βοᾷ	boa=|	βοάω	boa/w	v3spia---
βοᾷ	boa=|	βοείη	boei/h	n-s---fd-
βοᾷ	boa=|	βοή	boh/	n-s---fd-
βίᾳ	bi/a|	βία	bi/a	n-p---fn-
βίᾳ	bi/a|	βία	bi/a	n-p---fv-
βίᾳ	bi/a|	βία	bi/a	n-s---fd-
γαμεταῖς	gametai=s	γαμετή	gameth/	n-p---fd-
γε	ge	γε	ge	g--------
γεγενημένοις	gegenhme/nois	γίγνομαι	gi/gnomai	v-prpemd-
γεγενημένοις	gegenhme/nois	γίγνομαι	gi/gnomai	v-prpend-
γεγενημένου	gegenhme/nou	γίγνομαι	gi/gnomai	v-srpemg-
γεγενημένου	gegenhme/nou	γίγνομαι	gi/gnomai	v-srpeng-
γεγονέναι	gegone/nai	γίγνομαι	gi/gnomai	v--rna---
γεγένηται	gege/nhtai	γίγνομαι	gi/gnomai	v3srie---
γειτόνων	geito/nwn	γείτων	gei/twn	n-p---mg-
γειτόνων	geito/nwn	γείτων	gei/twn	n-p---fg-
γενέσθαι	gene/sqai	γίγνομαι	gi/gnomai	v--anm---
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmnn-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmnv-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmna-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppenn-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppenv-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppena-
γνώμην	gnw/mhn	γνώμη	gnw/mh	n-s---fa-
