Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	n-s---nn-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	n-s---nv-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	n-s---na-
εὐγόμφους	eu)go/mfous	εὔγομφος	eu)/gomfos	n-p---ma-
εὐγόμφους	eu)go/mfous	εὔγομφος	eu)/gomfos	n-p---fa-
εὐδαιμονεῖν	eu)daimonei=n	εὐδαιμονέω	eu)daimone/w	v--pna---
εὐδαιμόνων	eu)daimo/nwn	εὐδαίμων	eu)dai/mwn	n-p----g-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---nn-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---nv-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---na-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	n-s---ma-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	n-s---fa-
εὐδαίμονες	eu)dai/mones	εὐδαίμων	eu)dai/mwn	n-p---mn-
εὐδαίμονες	eu)dai/mones	εὐδαίμων	eu)dai/mwn	n-p---mv-
εὐδαίμονες	eu)dai/mones	εὐδαίμων	eu)dai/mwn	n-p---fn-
εὐδαίμονες	eu)dai/mones	εὐδαίμων	eu)dai/mwn	n-p---fv-
εὐδοκίμων	eu)doki/mwn	εὐδόκιμος	eu)do/kimos	n-p---mg-
εὐδοκίμων	eu)doki/mwn	εὐδόκιμος	eu)do/kimos	n-p---fg-
εὐδοκίμων	eu)doki/mwn	εὐδόκιμος	eu)do/kimos	n-p---ng-
εὐδένδρων	eu)de/ndrwn	εὔδενδρος	eu)/dendros	n-p---mg-
εὐδένδρων	eu)de/ndrwn	εὔδενδρος	eu)/dendros	n-p---fg-
εὐδένδρων	eu)de/ndrwn	εὔδενδρος	eu)/dendros	n-p---ng-
εὐεργετῶν	eu)ergetw=n	εὐεργέτης	eu)erge/ths	n-p---mg-
εὐεργετῶν	eu)ergetw=n	εὐεργετέω	eu)ergete/w	v-sppamn-
εὐερνέα	eu)erne/a	εὐερνής	eu)ernh/s	n-p---nn-
εὐερνέα	eu)erne/a	εὐερνής	eu)ernh/s	n-p---nv-
εὐερνέα	eu)erne/a	εὐερνής	eu)ernh/s	n-p---na-
εὐερνέα	eu)erne/a	εὐερνής	eu)ernh/s	n-s---ma-
εὐερνέα	eu)erne/a	εὐερνής	eu)ernh/s	n-s---fa-
εὐθυντηρίας	eu)qunthri/as	εὐθυντήριος	eu)qunth/rios	a-p---fa-
εὐθυντηρίας	eu)qunthri/as	εὐθυντήριος	eu)qunth/rios	a-s---fg-
εὐθύς	eu)qu/s	εὐθύσ1	eu)qu/s1	a-s---mn-
εὐθύς	eu)qu/s	εὐθύσ2	eu)qu/s2	d--------
εὐκταίαν	eu)ktai/an	εὐκταῖος	eu)ktai=os	a-s---fa-
εὐλαβεστέρως	eu)labeste/rws	εὐλαβής	eu)labh/s	n-p---ma-
εὐλαβεστέρως	eu)labeste/rws	εὐλαβής	eu)labh/s	x--------
εὐμενής	eu)menh/s	εὐμενής	eu)menh/s	n-s---mn-
εὐμενής	eu)menh/s	εὐμενής	eu)menh/s	n-s---fn-
εὐμούσου	eu)mou/sou	εὔμουσος	eu)/mousos	n-s---mg-
εὐμούσου	eu)mou/sou	εὔμουσος	eu)/mousos	n-s---fg-
εὐμούσου	eu)mou/sou	εὔμουσος	eu)/mousos	n-s---ng-
εὐμίτοις	eu)mi/tois	εὔμιτος	eu)/mitos	n-p---md-
εὐμίτοις	eu)mi/tois	εὔμιτος	eu)/mitos	n-p---fd-
εὐμίτοις	eu)mi/tois	εὔμιτος	eu)/mitos	n-p---nd-
εὐναίων	eu)nai/wn	εὐναής	eu)nah/s	n-p---mg-
εὐναίων	eu)nai/wn	εὐναής	eu)nah/s	n-p---fg-
εὐναίων	eu)nai/wn	εὐναής	eu)nah/s	n-p---ng-
εὐναίων	eu)nai/wn	εὐναῖος	eu)nai=os	a-p---fg-
εὐναίων	eu)nai/wn	εὐναῖος	eu)nai=os	a-p---mg-
εὐναίων	eu)nai/wn	εὐναῖος	eu)nai=os	a-p---ng-
εὐνάς	eu)na/s	εὐνή	eu)nh/	n-p---fa-
εὐξύνετον	eu)cu/neton	εὐσύνετος	eu)su/netos	n-s---ma-
εὐξύνετον	eu)cu/neton	εὐσύνετος	eu)su/netos	n-s---fa-
εὐξύνετον	eu)cu/neton	εὐσύνετος	eu)su/netos	n-s---nn-
εὐξύνετον	eu)cu/neton	εὐσύνετος	eu)su/netos	n-s---nv-
εὐξύνετον	eu)cu/neton	εὐσύνετος	eu)su/netos	n-s---na-
εὐπρύμνου	eu)pru/mnou	εὔπρυμνος	eu)/prumnos	n-s---mg-
εὐπρύμνου	eu)pru/mnou	εὔπρυμνος	eu)/prumnos	n-s---fg-
εὐπρύμνου	eu)pru/mnou	εὔπρυμνος	eu)/prumnos	n-s---ng-
εὐπήνοις	eu)ph/nois	εὔπηνος	eu)/phnos	n-p---md-
εὐπήνοις	eu)ph/nois	εὔπηνος	eu)/phnos	n-p---fd-
εὐπήνοις	eu)ph/nois	εὔπηνος	eu)/phnos	n-p---nd-
εὐπήνους	eu)ph/nous	εὔπηνος	eu)/phnos	n-p---ma-
εὐπήνους	eu)ph/nous	εὔπηνος	eu)/phnos	n-p---fa-
εὐρωπόν	eu)rwpo/n	εὐρωπός	eu)rwpo/s	a-s---ma-
εὐρωπόν	eu)rwpo/n	εὐρωπός	eu)rwpo/s	a-s---nn-
εὐρωπόν	eu)rwpo/n	εὐρωπός	eu)rwpo/s	a-s---nv-
εὐρωπόν	eu)rwpo/n	εὐρωπός	eu)rwpo/s	a-s---na-
εὐσεβής	eu)sebh/s	εὐσεβής	eu)sebh/s	n-s---mn-
εὐσεβής	eu)sebh/s	εὐσεβής	eu)sebh/s	n-s---fn-
εὐστοχίᾳ	eu)stoxi/a|	εὐστοχία	eu)stoxi/a	n-p---fn-
εὐστοχίᾳ	eu)stoxi/a|	εὐστοχία	eu)stoxi/a	n-p---fv-
εὐστοχίᾳ	eu)stoxi/a|	εὐστοχία	eu)stoxi/a	n-s---fd-
εὐστύλων	eu)stu/lwn	εὔστυλος	eu)/stulos	n-p---mg-
εὐστύλων	eu)stu/lwn	εὔστυλος	eu)/stulos	n-p---fg-
εὐστύλων	eu)stu/lwn	εὔστυλος	eu)/stulos	n-p---ng-
εὐσήμου	eu)sh/mou	εὔσημος	eu)/shmos	n-s---mg-
εὐσήμου	eu)sh/mou	εὔσημος	eu)/shmos	n-s---fg-
εὐσήμου	eu)sh/mou	εὔσημος	eu)/shmos	n-s---ng-
εὐτραφεῖς	eu)trafei=s	εὐτραφέω	eu)trafe/w	v2spia---
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---ma-
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---fa-
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---mn-
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---mv-
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---fn-
εὐτραφεῖς	eu)trafei=s	εὐτραφής	eu)trafh/s	n-p---fv-
εὐτρεπίζετε	eu)trepi/zete	εὐτρεπίζω	eu)trepi/zw	v2ppma---
εὐτρεπίζετε	eu)trepi/zete	εὐτρεπίζω	eu)trepi/zw	v2ppia---
εὐτρεπίζετε	eu)trepi/zete	εὐτρεπίζω	eu)trepi/zw	v2piia---
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-p---nn-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-p---nv-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-p---na-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---mn-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---mv-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---ma-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---fn-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---fv-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---fa-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---nn-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---nv-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-d---na-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-s---ma-
εὐτρεπῆ	eu)treph=	εὐτρεπής	eu)treph/s	n-s---fa-
εὐτυχεῖ	eu)tuxei=	εὐτυχέω	eu)tuxe/w	v2spie---
εὐτυχεῖ	eu)tuxei=	εὐτυχέω	eu)tuxe/w	v3spia---
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---mn-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---mv-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---ma-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---fn-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---fv-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---fa-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---nn-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---nv-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-d---na-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-s---md-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-s---fd-
εὐτυχεῖ	eu)tuxei=	εὐτυχής	eu)tuxh/s	n-s---nd-
εὐτυχεῖν	eu)tuxei=n	εὐτυχέω	eu)tuxe/w	v--pna---
εὐτυχεῖς	eu)tuxei=s	εὐτυχέω	eu)tuxe/w	v2spia---
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---ma-
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---fa-
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---mn-
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---mv-
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---fn-
εὐτυχεῖς	eu)tuxei=s	εὐτυχής	eu)tuxh/s	n-p---fv-
εὐτυχοῖμεν	eu)tuxoi=men	εὐτυχέω	eu)tuxe/w	v1ppoa---
εὐτυχοῦμεν	eu)tuxou=men	εὐτυχέω	eu)tuxe/w	v1piia---
εὐτυχοῦμεν	eu)tuxou=men	εὐτυχέω	eu)tuxe/w	v1ppia---
εὐτυχοῦμεν	eu)tuxou=men	εὐτυχέω	eu)tuxe/w	v1piia---
εὐτυχοῦσά	eu)tuxou=sa/	εὐτυχέω	eu)tuxe/w	v-sppafn-
εὐτυχοῦσά	eu)tuxou=sa/	εὐτυχέω	eu)tuxe/w	v-sppafv-
εὐτυχίας	eu)tuxi/as	εὐτυχία	eu)tuxi/a	n-p---fa-
εὐτυχίας	eu)tuxi/as	εὐτυχία	eu)tuxi/a	n-s---fg-
εὐτυχίᾳ	eu)tuxi/a|	εὐτυχία	eu)tuxi/a	n-p---fn-
εὐτυχίᾳ	eu)tuxi/a|	εὐτυχία	eu)tuxi/a	n-p---fv-
εὐτυχίᾳ	eu)tuxi/a|	εὐτυχία	eu)tuxi/a	n-s---fd-
εὐτυχῶς	eu)tuxw=s	εὐτυχής	eu)tuxh/s	x--------
εὐτύχει	eu)tu/xei	εὐτυχέω	eu)tuxe/w	v3siia---
εὐτύχει	eu)tu/xei	εὐτυχέω	eu)tuxe/w	v2spma---
εὐτύχει	eu)tu/xei	εὐτυχέω	eu)tuxe/w	v3siia---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v3spoe---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v2ppma---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v2ppoa---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v2ppia---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v3spie---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v3siie---
εὐφαμεῖτ’	eu)famei=t'	εὐφημέω	eu)fhme/w	v2piia---
εὐφρανθῶ	eu)franqw=	εὐφραίνω	eu)frai/nw	v1sasp---
εὐφύλλῳ	eu)fu/llw|	εὔφυλλος	eu)/fullos	n-s---md-
εὐφύλλῳ	eu)fu/llw|	εὔφυλλος	eu)/fullos	n-s---fd-
εὐφύλλῳ	eu)fu/llw|	εὔφυλλος	eu)/fullos	n-s---nd-
εὐχαῖς	eu)xai=s	εὐχή	eu)xh/	n-p---fd-
εὐχαῖσιν	eu)xai=sin	εὐχή	eu)xh/	n-p---fd-
εὐχήν	eu)xh/n	εὐχή	eu)xh/	n-s---fa-
εὐάλιον	eu)a/lion	εὐήλιος	eu)h/lios	n-s---ma-
εὐάλιον	eu)a/lion	εὐήλιος	eu)h/lios	n-s---fa-
εὐάλιον	eu)a/lion	εὐήλιος	eu)h/lios	n-s---nn-
εὐάλιον	eu)a/lion	εὐήλιος	eu)h/lios	n-s---nv-
εὐάλιον	eu)a/lion	εὐήλιος	eu)h/lios	n-s---na-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---ma-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---fa-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---mn-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---mv-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---fn-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-p---fv-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-s---mn-
εὐήρης	eu)h/rhs	εὐήρης	eu)h/rhs	n-s---fn-
εὐίππου	eu)i/ppou	εὔιππος	eu)/ippos	n-s---mg-
εὐίππου	eu)i/ppou	εὔιππος	eu)/ippos	n-s---fg-
εὐίππου	eu)i/ppou	εὔιππος	eu)/ippos	n-s---ng-
εὐόλβων	eu)o/lbwn	εὔολβος	eu)/olbos	n-p---mg-
εὐόλβων	eu)o/lbwn	εὔολβος	eu)/olbos	n-p---fg-
εὐόλβων	eu)o/lbwn	εὔολβος	eu)/olbos	n-p---ng-
εὑρομένα	eu(rome/na	εὑρίσκω	eu(ri/skw	v-dapmfn-
εὑρομένα	eu(rome/na	εὑρίσκω	eu(ri/skw	v-dapmfv-
εὑρομένα	eu(rome/na	εὑρίσκω	eu(ri/skw	v-dapmfa-
εὑρομένα	eu(rome/na	εὑρίσκω	eu(ri/skw	v-sapmfn-
εὑρομένα	eu(rome/na	εὑρίσκω	eu(ri/skw	v-sapmfv-
εὑρίσκειν	eu(ri/skein	εὑρίσκω	eu(ri/skw	v--pna---
εὔπαις	eu)/pais	εὔπαις	eu)/pais	n-s---mn-
εὔπαις	eu)/pais	εὔπαις	eu)/pais	n-s---fn-
εὔυδρον	eu)/udron	εὔυδρος	eu)/udros	n-s---ma-
εὔυδρον	eu)/udron	εὔυδρος	eu)/udros	n-s---fa-
εὔυδρον	eu)/udron	εὔυδρος	eu)/udros	n-s---nn-
εὔυδρον	eu)/udron	εὔυδρος	eu)/udros	n-s---nv-
εὔυδρον	eu)/udron	εὔυδρος	eu)/udros	n-s---na-
εὔφημα	eu)/fhma	εὔφημος	eu)/fhmos	n-p---nn-
εὔφημα	eu)/fhma	εὔφημος	eu)/fhmos	n-p---nv-
εὔφημα	eu)/fhma	εὔφημος	eu)/fhmos	n-p---na-
εὕδειν	eu(/dein	εὕδω	eu(/dw	v--pna---
εὕρισκ’	eu(/risk'	εὑρίσκω	eu(ri/skw	v2spma---
εὕρισκ’	eu(/risk'	εὑρίσκω	eu(ri/skw	v3siia---
εὕρισκ’	eu(/risk'	εὑρίσκω	eu(ri/skw	v3siia---
εὕρῃ	eu(/rh|	εὑρίσκω	eu(ri/skw	v2sasm---
εὕρῃ	eu(/rh|	εὑρίσκω	eu(ri/skw	v3sasa---
εὕρῃ	eu(/rh|	εὑρίσκω	eu(ri/skw	v2sase---
εὕρῃ	eu(/rh|	εὑρίσκω	eu(ri/skw	v3sasa---
εὖ	eu)=	εὖ	eu)=	d--------
ζαθέων	zaqe/wn	ζάθεος	za/qeos	a-p---fg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	a-p---mg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	a-p---ng-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	n-p---mg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	n-p---fg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	n-p---ng-
ζαχρύσου	zaxru/sou	ζάχρυσος	za/xrusos	n-s---mg-
ζαχρύσου	zaxru/sou	ζάχρυσος	za/xrusos	n-s---fg-
ζαχρύσου	zaxru/sou	ζάχρυσος	za/xrusos	n-s---ng-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-sppafn-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-sppafv-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-pppamd-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-pppand-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v3ppia---
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-pppafn-
ζηλοῦσ’	zhlou=s'	ζηλέω	zhle/w	v-pppafv-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-sppafn-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-sppafv-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-pppamd-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-pppand-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v3ppia---
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-pppafn-
ζηλοῦσ’	zhlou=s'	ζηλόω	zhlo/w	v-pppafv-
ζηλωμάτων	zhlwma/twn	ζήλωμα	zh/lwma	n-p---ng-
ζητεῖς	zhtei=s	ζητέω	zhte/w	v2spia---
ζωᾶς	zwa=s	ζωή	zwh/	n-s---fg-
ζωᾶς	zwa=s	ζωός	zwo/s	a-s---fg-
ζόας	zo/as	ζόη	zo/h	n-p---fa-
ζόας	zo/as	ζόη	zo/h	n-s---fg-
ζόας	zo/as	ζωή	zwh/	n-p---fa-
ζόας	zo/as	ζωή	zwh/	n-s---fg-
ζώνας	zw/nas	ζώνη	zw/nh	n-p---fa-
ζώνας	zw/nas	ζώνη	zw/nh	n-s---fg-
ζῆ	zh=	ζάω	za/w	v2spma---
ζῆ	zh=	ζάω	za/w	v3siia---
ζῆ	zh=	ζέω	ze/w	v2spma---
ζῆν	zh=n	ζάω	za/w	v--pna---
ζῆν	zh=n	ζέω	ze/w	v--pna---
ζῇ	zh=|	ζάω	za/w	v2spse---
ζῇ	zh=|	ζάω	za/w	v2spie---
ζῇ	zh=|	ζάω	za/w	v3spsa---
ζῇ	zh=|	ζάω	za/w	v3spia---
ζῇ	zh=|	ζέω	ze/w	v2spse---
ζῇ	zh=|	ζέω	ze/w	v2spie---
ζῇ	zh=|	ζέω	ze/w	v3spsa---
ζῶντας	zw=ntas	ζάω	za/w	v-pppama-
ζῶσ’	zw=s'	ζάω	za/w	v-sppafn-
ζῶσ’	zw=s'	ζάω	za/w	v-sppafv-
ζῶσ’	zw=s'	ζάω	za/w	v-pppamd-
ζῶσ’	zw=s'	ζάω	za/w	v-pppand-
ζῶσ’	zw=s'	ζάω	za/w	v3ppsa---
ζῶσ’	zw=s'	ζάω	za/w	v3ppia---
ζῶσ’	zw=s'	ζάω	za/w	v-pppafn-
ζῶσ’	zw=s'	ζάω	za/w	v-pppafv-
ζῶσ’	zw=s'	ζέω	ze/w	v3ppsa---
ζῶσ’	zw=s'	ζώννυμι	zw/nnumi	v2samm---
ζῶσ’	zw=s'	ζώννυμι	zw/nnumi	v--ana---
ζῶσ’	zw=s'	ζώννυμι	zw/nnumi	v1saia---
ζῶσ’	zw=s'	ζώννυμι	zw/nnumi	v3saia---
ζῶσ’	zw=s'	ζῶσις	zw=sis	n-s---fv-
ηὑρήμεθα	hu(rh/meqa	εὑρίσκω	eu(ri/skw	v1plie---
ηὑρήμεθα	hu(rh/meqa	εὑρίσκω	eu(ri/skw	v1prie---
ηὑσέβεια	hu(se/beia	εὐσέβεια	eu)se/beia	n-s---fn-
ηὑσέβεια	hu(se/beia	εὐσέβεια	eu)se/beia	n-s---fv-
ηὔξατ’	hu)/cat'	εὔχομαι	eu)/xomai	v3saim---
ηὔξω	hu)/cw	εὔχομαι	eu)/xomai	v2saim---
ηὔχου	hu)/xou	εὔχομαι	eu)/xomai	v2siie---
ηὗρον	hu(=ron	εὑρίσκω	eu(ri/skw	v3paia---
ηὗρον	hu(=ron	εὑρίσκω	eu(ri/skw	v1saia---
θαλασσίας	qalassi/as	θαλάσσιος	qala/ssios	a-p---fa-
θαλασσίας	qalassi/as	θαλάσσιος	qala/ssios	a-s---fg-
θαλασσίας	qalassi/as	θαλασσία	qalassi/a	n-p---fa-
θαλασσίας	qalassi/as	θαλασσία	qalassi/a	n-s---fg-
θαλασσίους	qalassi/ous	θαλάσσιος	qala/ssios	a-p---ma-
θαλασσίᾳ	qalassi/a|	θαλάσσιος	qala/ssios	a-s---fd-
θαλασσίᾳ	qalassi/a|	θαλασσία	qalassi/a	n-s---fd-
θαλλόν	qallo/n	θαλλός	qallo/s	n-s---ma-
θαλάμοις	qala/mois	θάλαμος	qa/lamos	n-p---md-
θαλάμων	qala/mwn	θάλαμος	qa/lamos	n-p---mg-
θαλάσσας	qala/ssas	θάλασσα	qa/lassa	n-p---fa-
θαλάσσας	qala/ssas	θάλασσα	qa/lassa	n-s---fg-
θαλάσσης	qala/sshs	θάλασσα	qa/lassa	n-s---fg-
θαλάσσῃ	qala/ssh|	θάλασσα	qa/lassa	n-s---fd-
θαμβούμενοι	qambou/menoi	θαμβέω	qambe/w	v-pppemn-
θαμβούμενοι	qambou/menoi	θαμβέω	qambe/w	v-pppemv-
θαμβούμενοι	qambou/menoi	θαμβόομαι	qambo/omai	v-pppemn-
θαμβούμενοι	qambou/menoi	θαμβόομαι	qambo/omai	v-pppemv-
θανεῖν	qanei=n	θνήσκω	qnh/skw	v--ana---
θανουμένῳ	qanoume/nw|	θνήσκω	qnh/skw	v-sfpmmd-
θανουμένῳ	qanoume/nw|	θνήσκω	qnh/skw	v-sfpmnd-
θανούμεθα	qanou/meqa	θνήσκω	qnh/skw	v1pfim---
θανούμεθ’	qanou/meq'	θνήσκω	qnh/skw	v1pfim---
θανούμενον	qanou/menon	θνήσκω	qnh/skw	v-sfpmma-
θανούμενον	qanou/menon	θνήσκω	qnh/skw	v-sfpmnn-
θανούμενον	qanou/menon	θνήσκω	qnh/skw	v-sfpmnv-
θανούμενον	qanou/menon	θνήσκω	qnh/skw	v-sfpmna-
θανοῦμαι	qanou=mai	θνήσκω	qnh/skw	v1sfim---
θανοῦσαν	qanou=san	θνήσκω	qnh/skw	v-sapafa-
θανάτῳ	qana/tw|	θάνατος	qa/natos	n-s---md-
θανόντα	qano/nta	θνήσκω	qnh/skw	v-papann-
θανόντα	qano/nta	θνήσκω	qnh/skw	v-papanv-
θανόντα	qano/nta	θνήσκω	qnh/skw	v-papana-
θανόντα	qano/nta	θνήσκω	qnh/skw	v-sapama-
θανόντες	qano/ntes	θνήσκω	qnh/skw	v-papamn-
θανόντες	qano/ntes	θνήσκω	qnh/skw	v-papamv-
θανόντος	qano/ntos	θνήσκω	qnh/skw	v-sapamg-
θανόντος	qano/ntos	θνήσκω	qnh/skw	v-sapang-
θανών	qanw/n	θνήσκω	qnh/skw	v-sapamn-
θανῇ	qanh=|	θνήσκω	qnh/skw	v2sfim---
θατέρου	qate/rou	ἕτερος	e(/teros	a-s---mg-
θατέρου	qate/rou	ἕτερος	e(/teros	a-s---ng-
θαυμαστοῖσι	qaumastoi=si	θαυμαστός	qaumasto/s	a-p---md-
θαυμαστοῖσι	qaumastoi=si	θαυμαστός	qaumasto/s	a-p---nd-
θαυμαστοῖσι	qaumastoi=si	θαυμαστόω	qaumasto/w	v-pppamd-
θαυμαστοῖσι	qaumastoi=si	θαυμαστόω	qaumasto/w	v-pppand-
θαυμαστοῖσι	qaumastoi=si	θαυμαστόω	qaumasto/w	v3spsa---
θαυμαστοῖσι	qaumastoi=si	θαυμαστόω	qaumasto/w	v3ppia---
θαυμάζει	qauma/zei	θαυμάζω	qauma/zw	v2spie---
θαυμάζει	qauma/zei	θαυμάζω	qauma/zw	v3spia---
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-d---mn-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-d---mv-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-d---ma-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-s---mv-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-s---mn-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-p---mn-
θαυμάστ’	qauma/st'	θαυμαστής	qaumasth/s	n-p---mv-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-p---nn-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-p---nv-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-p---na-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-d---fn-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-d---fv-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-d---fa-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-s---fn-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-s---fv-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-s---mv-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-p---fn-
θαυμάστ’	qauma/st'	θαυμαστός	qaumasto/s	a-p---fv-
θαυμάσῃ	qauma/sh|	θαυμάζω	qauma/zw	v2sasm---
θαυμάσῃ	qauma/sh|	θαυμάζω	qauma/zw	v3sasa---
θαυμάσῃ	qauma/sh|	θαυμάζω	qauma/zw	v2sfim---
θαυμάσῃς	qauma/sh|s	θαυμάζω	qauma/zw	v2sasa---
θαυμάτων	qauma/twn	θαῦμα	qau=ma	n-p---ng-
θαῦμα	qau=ma	θαῦμα	qau=ma	n-s---nn-
θαῦμα	qau=ma	θαῦμα	qau=ma	n-s---nv-
θαῦμα	qau=ma	θαῦμα	qau=ma	n-s---na-
θεαί	qeai/	θεά	qea/	n-p---fn-
θεαί	qeai/	θεά	qea/	n-p---fv-
θεαῖς	qeai=s	θεά	qea/	n-p---fd-
θελκτήρια	qelkth/ria	θελκτήριον	qelkth/rion	n-p---nn-
