’	'	ἒ	e)\	x--------
Αἰ	*ai)	εἰ	ei)	c--------
Αἰακιδέων	*ai)akide/wn	Αἰακίδης	*ai)aki/dhs	n-p---mg-
Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Αἰακίδας	*ai)aki/das	Αἰακίδης	*ai)aki/dhs	n-p---ma-
Αἰακίδας	*ai)aki/das	Αἰακίδης	*ai)aki/dhs	n-s---mn-
Αἰακόν	*ai)ako/n	Αἰακός	*ai)ako/s	n-s---ma-
Αἰακῷ	*ai)akw=|	Αἰακός	*ai)ako/s	n-s---md-
Αἰγαί	*ai)gai/	Αἰγαί	*ai)gai/	n-p---fn-
Αἰγαί	*ai)gai/	Αἰγαί	*ai)gai/	n-p---fv-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---mg-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---ng-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---md-
Αἰγαίῳ	*ai)gai/w|	Αἰγαῖος	*ai)gai=os	a-s---nd-
Αἰγαῖαι	*ai)gai=ai	Αἰγαῖος	*ai)gai=os	a-p---fn-
Αἰγαῖαι	*ai)gai=ai	Αἰγαῖος	*ai)gai=os	a-p---fv-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---ma-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nn-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---nv-
Αἰγαῖον	*ai)gai=on	Αἰγαῖος	*ai)gai=os	a-s---na-
Αἰγεύς	*ai)geu/s	Αἰγεύς	*ai)geu/s	n-s---mn-
Αἰγεῖδαι	*ai)gei=dai	Αἰγείδης	*ai)gei/dhs	n-p---mn-
Αἰγεῖδαι	*ai)gei=dai	Αἰγείδης	*ai)gei/dhs	n-p---mv-
Αἰγιαλέας	*ai)giale/as	Αἰγιάλευς	*ai)gia/leus	n-p---ma-
Αἰγιαλέας	*ai)giale/as	Αἰγιαλεύς	*ai)gialeu/s	n-p---ma-
Αἰγιαλέες	*ai)giale/es	Αἰγιαλεύς	*ai)gialeu/s	n-p---mn-
Αἰγιαλέες	*ai)giale/es	Αἰγιαλεύς	*ai)gialeu/s	n-p---mv-
Αἰγιαλέος	*ai)giale/os	Αἰγιαλεύς	*ai)gialeu/s	n-s---mg-
Αἰγικόρεος	*ai)giko/reos	Αἰγικόρας	*ai)giko/ras	n-s---mg-
Αἰγιναίη	*ai)ginai/h	Αἰγιναίη	*ai)ginai/h	n-s---fn-
Αἰγιναίη	*ai)ginai/h	Αἰγιναίη	*ai)ginai/h	n-s---fv-
Αἰγιναίη	*ai)ginai/h	Αἰγιναῖος	*ai)ginai=os	a-s---fn-
Αἰγιναίη	*ai)ginai/h	Αἰγιναῖος	*ai)ginai=os	a-s---fv-
Αἰγιναίην	*ai)ginai/hn	Αἰγιναίη	*ai)ginai/h	n-s---fa-
Αἰγιναίην	*ai)ginai/hn	Αἰγιναῖος	*ai)ginai=os	a-s---fa-
Αἰγιναῖαι	*ai)ginai=ai	Αἰγιναίη	*ai)ginai/h	n-p---fn-
Αἰγιναῖαι	*ai)ginai=ai	Αἰγιναίη	*ai)ginai/h	n-p---fv-
Αἰγιναῖαι	*ai)ginai=ai	Αἰγιναῖος	*ai)ginai=os	a-p---fn-
Αἰγιναῖαι	*ai)ginai=ai	Αἰγιναῖος	*ai)ginai=os	a-p---fv-
Αἰγινητέων	*ai)ginhte/wn	Αἰγινήτης	*ai)ginh/ths	n-p---mg-
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-p---ma-
Αἰγινήτας	*ai)ginh/tas	Αἰγινήτης	*ai)ginh/ths	n-s---mn-
