’	e)\	- no urn found -	ἒ
Αἰακιδέων	*ai)aki/dhs	- no urn found -	Αἰακίδης
Αἰακοῦ	*ai)ako/s	- no urn found -	Αἰακός
Αἰακίδας	*ai)aki/dhs	- no urn found -	Αἰακίδης
Αἰακίδας	*ai)aki/dhs	- no urn found -	Αἰακίδης
Αἰακόν	*ai)ako/s	- no urn found -	Αἰακός
Αἰακῷ	*ai)ako/s	- no urn found -	Αἰακός
Αἰγαί	*ai)gai/	- no urn found -	Αἰγαί
Αἰγαί	*ai)gai/	- no urn found -	Αἰγαί
Αἰγεύς	*ai)geu/s	- no urn found -	Αἰγεύς
Αἰγεῖδαι	*ai)gei/dhs	- no urn found -	Αἰγείδης
Αἰγεῖδαι	*ai)gei/dhs	- no urn found -	Αἰγείδης
Αἰγιαλέας	*ai)gia/leus	- no urn found -	Αἰγιάλευς
Αἰγιαλέας	*ai)gialeu/s	- no urn found -	Αἰγιαλεύς
Αἰγιαλέες	*ai)gialeu/s	- no urn found -	Αἰγιαλεύς
Αἰγιαλέες	*ai)gialeu/s	- no urn found -	Αἰγιαλεύς
Αἰγιαλέος	*ai)gialeu/s	- no urn found -	Αἰγιαλεύς
Αἰγικόρεος	*ai)giko/ras	- no urn found -	Αἰγικόρας
Αἰγιναίη	*ai)ginai/h	- no urn found -	Αἰγιναίη
Αἰγιναίη	*ai)ginai/h	- no urn found -	Αἰγιναίη
Αἰγιναίην	*ai)ginai/h	- no urn found -	Αἰγιναίη
Αἰγιναῖαι	*ai)ginai/h	- no urn found -	Αἰγιναίη
Αἰγιναῖαι	*ai)ginai/h	- no urn found -	Αἰγιναίη
Αἰγινητέων	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτας	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτας	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτεω	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτην	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτης	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινήτῃσι	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινῆτα	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινῆτα	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινῆται	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινῆται	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγινῆταί	*ai)ginh/ths	- no urn found -	Αἰγινήτης
