’	'	ἒ	e)\	x--------
’διαύλιον	'diau/lion	διαυλέω	diaule/w	v3piia---
’διαύλιον	'diau/lion	διαυλέω	diaule/w	v1siia---
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---mg-
Αἰγαίου	*ai)gai/ou	Αἰγαῖος	*ai)gai=os	a-s---ng-
Αἰγίνης	*ai)gi/nhs	Αἴγινα	*ai)/gina	n-s---fg-
Αἰγίνης	*ai)gi/nhs	αἰγίνη	ai)gi/nh	n-s---fg-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mn-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mv-
Αἰσχύλε	*ai)sxu/le	Αἰσχύλος	*ai)sxu/los	n-s---mv-
Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
Αἰσχύλος	*ai)sxu/los	Αἰσχύλος	*ai)sxu/los	n-s---mn-
Αἰσχύλου	*ai)sxu/lou	Αἰσχύλος	*ai)sxu/los	n-s---mg-
Αἴαντι	*ai)/anti	Αἴας	*ai)/as	n-s---md-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---fn-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---mn-
Αἴολον	*ai)/olon	Αἴολος	*ai)/olos	n-s---ma-
Αὑαίνου	*au(ai/nou	αὐαίνω	au)ai/nw	v2siie---
Αὑαίνου	*au(ai/nou	αὐαίνω	au)ai/nw	v2spme---
Αὑαίνου	*au(ai/nou	αὐαίνω	au)ai/nw	v2siie---
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---ma-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nn-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nv-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-p---nn-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-p---nv-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-p---na-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-s---mv-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-p---fn-
Βακχεῖ’	*bakxei='	Βάκχειος	*ba/kxeios	a-p---fv-
Βακχεῖ’	*bakxei='	Βακχάω	*bakxa/w	v2spoe---
Βακχεῖ’	*bakxei='	Βακχάω	*bakxa/w	v2spie---
Βακχεῖ’	*bakxei='	Βακχεία	*bakxei/a	n-p---fn-
Βακχεῖ’	*bakxei='	Βακχεία	*bakxei/a	n-p---fv-
Βακχεῖ’	*bakxei='	Βακχεία	*bakxei/a	n-p---fn-
Βακχεῖ’	*bakxei='	Βακχεία	*bakxei/a	n-p---fv-
Βακχεῖ’	*bakxei='	Βακχεῖα	*bakxei=a	n-p---nn-
Βακχεῖ’	*bakxei='	Βακχεῖα	*bakxei=a	n-p---nv-
Βακχεῖ’	*bakxei='	Βακχεῖα	*bakxei=a	n-p---na-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---nn-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---nv-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---na-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---nn-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---nv-
Βακχεῖ’	*bakxei='	Βακχεῖον	*bakxei=on	n-p---na-
Βαρέως	*bare/ws	βαρύς	baru/s	x--------
Βελλεροφόντας	*bellerofo/ntas	Βελλεροφόντης	*bellerofo/nths	n-s---mn-
Βούλει	*bou/lei	Βούλις	*bou/lis	n-s---fd-
Βούλει	*bou/lei	Βούλις	*bou/lis	n-s---fd-
Βούλει	*bou/lei	βούλομαι	bou/lomai	v2spie---
Βάρος	*ba/ros	βάρος	ba/ros	n-s---nn-
Βάρος	*ba/ros	βάρος	ba/ros	n-s---nv-
Βάρος	*ba/ros	βάρος	ba/ros	n-s---na-
Γλύκη	*glu/kh	Γλύκη	*glu/kh	n-s---fn-
Γλύκη	*glu/kh	Γλύκη	*glu/kh	n-s---fv-
