urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.1	μηδέν	mhde/n	μηδείς	mhdei/s	urn:cite2:hmt:lsj.chicago_md:n67302	n-s---nn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.2	ἔτι	e)/ti	ἔτι	e)/ti	urn:cite2:hmt:lsj.chicago_md:n43266	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.3	πρός	pro/s	πρός	pro/s	urn:cite2:hmt:lsj.chicago_md:n88443	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.4	ταῦτ’	tau=t'	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-p---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.6	ἀλλά	a)lla/	ἀλλά	a)lla/	urn:cite2:hmt:lsj.chicago_md:n4357	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.7	φράζε	fra/ze	φράζω	fra/zw	urn:cite2:hmt:lsj.chicago_md:n112217	v2spma---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.8	τῶν	tw=n	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:117.1.text.token.9	ὁδῶν	o(dw=n	ὁδόσ2	o(do/s	urn:cite2:hmt:lsj.chicago_md:n72092	n-p---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:118.1.text.token.1	ὅπῃ	o(/ph|	ὅπη	o(/ph	urn:cite2:hmt:lsj.chicago_md:n74432	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:118.1.text.token.2	τάχιστ’	ta/xist'	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-p---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:118.1.text.token.4	εἰς	ei)s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:118.1.text.token.5	Ἅιδου	*(/aidou	Ἅιδης	*(/aidhs	urn:cite2:hmt:lsj.chicago_md:n2244	n-s---mg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:118.1.text.token.6	κάτω	ka/tw	κάτω	ka/tw	urn:cite2:hmt:lsj.chicago_md:n56149	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.1	καὶ	kai\	καί	kai/	urn:cite2:hmt:lsj.chicago_md:n51951	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.2	μήτε	mh/te	μήτε	mh/te	urn:cite2:hmt:lsj.chicago_md:n67541	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.3	θερμήν	qermh/n	θερμός	qermo/s	urn:cite2:hmt:lsj.chicago_md:n48479	a-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.4	μήτ’	mh/t'	μήτε	mh/te	urn:cite2:hmt:lsj.chicago_md:n67541	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.5	ἄγαν	a)/gan	ἄγαν	a)/gan	urn:cite2:hmt:lsj.chicago_md:n324	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.6	ψυχράν	yuxra/n	ψυχρός	yuxro/s	urn:cite2:hmt:lsj.chicago_md:n115972	a-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text.token.7	φράσῃς	fra/sh|s	φράζω	fra/zw	urn:cite2:hmt:lsj.chicago_md:n112217	v2sasa---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.1	φέρε	fe/re	φέρω	fe/rw	urn:cite2:hmt:lsj.chicago_md:n110598	v2spma---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.2	δή	dh/	δή	dh/	urn:cite2:hmt:lsj.chicago_md:n24295	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.3	τίν’	ti/n'	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.4	αὐτῶν	au)tw=n	αὐτός	au)to/s	urn:cite2:hmt:lsj.chicago_md:n17907	n-p---fg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.5	σοι	soi	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----d-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.6	φράσω	fra/sw	φράζω	fra/zw	urn:cite2:hmt:lsj.chicago_md:n112217	v1sasa---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.7	πρώτην	prw/thn	πρότερος	pro/teros	urn:cite2:hmt:lsj.chicago_md:n90504	a-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:120.1.text.token.9	τίνα	ti/na	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.1	μία	mi/a	εἷς	ei(=s	urn:cite2:hmt:lsj.chicago_md:n31236	n-s---fn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.2	μέν	me/n	μέν	me/n	urn:cite2:hmt:lsj.chicago_md:n66260	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.3	γάρ	ga/r	γάρ	ga/r	urn:cite2:hmt:lsj.chicago_md:n21618	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.4	ἔστιν	e)/stin	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.5	ἀπό	a)po/	ἀπό	a)po/	urn:cite2:hmt:lsj.chicago_md:n12243	r--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.6	κάλω	ka/lw	κάλως	ka/lws	urn:cite2:hmt:lsj.chicago_md:n52908	n-s---mg-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.7	καὶ	kai\	καί	kai/	urn:cite2:hmt:lsj.chicago_md:n51951	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:121.1.text.token.8	θρανίου	qrani/ou	θρᾶνος	qra=nos	urn:cite2:hmt:lsj.chicago_md:n49014	n-s---ng-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:122.1.text.token.1	κρεμάσαντι	krema/santi	κρεμάννυμι	krema/nnumi	urn:cite2:hmt:lsj.chicago_md:n59803	v-sapamd-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:122.1.text.token.2	σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---ma-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:122.2.text.token.1	παῦε	pau=e	παύω	pau/w	urn:cite2:hmt:lsj.chicago_md:n80140	v2spma---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:122.2.text.token.3	πνιγηράν	pnighra/n	πνιγηρός	pnighro/s	urn:cite2:hmt:lsj.chicago_md:n84072	a-s---fa-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:122.2.text.token.4	λέγεις	le/geis	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62204	v2spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:123.1.text.token.1	ἀλλ’	a)ll'	ἀλλά	a)lla/	urn:cite2:hmt:lsj.chicago_md:n4357	d--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:123.1.text.token.2	ἔστιν	e)/stin	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3spia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:123.1.text.token.3	ἀτραπός	a)trapo/s	ἀτραπός	a)trapo/s	urn:cite2:hmt:lsj.chicago_md:n17173	n-s---fn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:123.1.text.token.4	ξύντομος	cu/ntomos	σύντομος	su/ntomos	urn:cite2:hmt:lsj.chicago_md:n101042	n-s---fn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:123.1.text.token.5	τετριμμένη	tetrimme/nh	τρίβω	tri/bw	urn:cite2:hmt:lsj.chicago_md:n104838	v-srpefn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:124.1.text.token.1	ἡ	h(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fn-
