Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
κατέλυσαν	kate/lusan	καταλύω	katalu/w	v3paia---
κατέπτετο	kate/pteto	καταπέτομαι	katape/tomai	v3saim---
κατέχουσι	kate/xousi	κατέχω	kate/xw	v-pppamd-
κατέχουσι	kate/xousi	κατέχω	kate/xw	v-pppand-
κατέχουσι	kate/xousi	κατέχω	kate/xw	v3ppia---
κατόμοσόν	kato/moso/n	κατόμνυμι	kato/mnumi	v2sama---
κατόπιν	kato/pin	κατόπιν	kato/pin	d--------
κατώμοσα	katw/mosa	κατόμνυμι	kato/mnumi	v1saia---
κατῆραν	kath=ran	καταίρω	katai/rw	v3paia---
καὐτός	kau)to/s	αὐτός	au)to/s	n-s---mn-
καὖθις	kau)=qis	αὖθις	au)=qis	d--------
καί	kai/	καί	kai/	c--------
καίτοι	kai/toi	καίτοι	kai/toi	g--------
κε	ke	ἄν1	a)/n1	g--------
κεβλήπυρις	keblh/puris	κεβλήπυρις	keblh/puris	n-s---fn-
κειρίαν	keiri/an	κειρία	keiri/a	n-s---fa-
κειρύλος	keiru/los	κηρύλος	khru/los	n-s---mn-
κεκλήσεται	keklh/setai	καλέω	kale/w	v3stie---
κεκριγότες	kekrigo/tes	κρίζω	kri/zw	v-prpamn-
κεκριγότες	kekrigo/tes	κρίζω	kri/zw	v-prpamv-
κεκτῆσθαι	kekth=sqai	κτάομαι	kta/omai	v--rne---
κεκτῆσθαι	kekth=sqai	κτέομαι	kte/omai	v--rne---
κεκίνηνταί	keki/nhntai/	κινέω	kine/w	v3prie---
κελεύεις	keleu/eis	κελεύω	keleu/w	v2spia---
κελεύομεν	keleu/omen	κελεύω	keleu/w	v1ppia---
κελεύομεν	keleu/omen	κελεύω	keleu/w	v1piia---
κελεύω	keleu/w	κελεύω	keleu/w	v1spsa---
κελεύω	keleu/w	κελεύω	keleu/w	v1spia---
κενεβρείων	kenebrei/wn	κενέβρειος	kene/breios	n-p---mg-
κενεβρείων	kenebrei/wn	κενέβρειος	kene/breios	n-p---fg-
κενεβρείων	kenebrei/wn	κενέβρειος	kene/breios	n-p---ng-
κενόν	keno/n	κενός	keno/s	a-s---ma-
κενόν	keno/n	κενός	keno/s	a-s---nn-
κενόν	keno/n	κενός	keno/s	a-s---nv-
κενόν	keno/n	κενός	keno/s	a-s---na-
κεραμῆς	keramh=s	κεραμεύς	kerameu/s	n-p---mn-
κεραμῆς	keramh=s	κεραμεύς	kerameu/s	n-p---mn-
κεραμῆς	keramh=s	κεραμεύς	kerameu/s	n-p---mv-
κεραυνόν	kerauno/n	κεραυνός	kerauno/s	n-s---ma-
κερδαλέας	kerdale/as	κερδαλέος	kerdale/os	a-p---fa-
κερδαλέας	kerdale/as	κερδαλέος	kerdale/os	a-s---fg-
κερδαίνομεν	kerdai/nomen	κερδαίνω	kerdai/nw	v1ppia---
κερδαίνομεν	kerdai/nomen	κερδαίνω	kerdai/nw	v1piia---
κερκίδα	kerki/da	κερκίς	kerki/s	n-s---fa-
κερχνῄδων	kerxnh/|dwn	κέρχνη	ke/rxnh	n-p---fg-
κερχνῄς	kerxnh/|s	κέρχνη	ke/rxnh	n-s---fn-
κερχνῇδας	kerxnh=|das	κέρχνη	ke/rxnh	n-p---fa-
κερχνῇδος	kerxnh=|dos	κέρχνη	ke/rxnh	n-s---fg-
κεφαλήν	kefalh/n	κεφαλή	kefalh/	n-s---fa-
κεφαλᾷ	kefala=|	κεφαλή	kefalh/	n-s---fd-
κεφαλῆς	kefalh=s	κεφαλή	kefalh/	n-s---fg-
κεφαλῇ	kefalh=|	κεφαλή	kefalh/	n-s---fd-
κεχηνότες	kexhno/tes	χάσκω	xa/skw	v-prpamn-
κεχηνότες	kexhno/tes	χάσκω	xa/skw	v-prpamv-
κεχήνασίν	kexh/nasi/n	χάσκω	xa/skw	v3pria---
κεἴ	kei)/	εἰ	ei)	c--------
κεὐδαίμονα	keu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---nn-
κεὐδαίμονα	keu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---nv-
κεὐδαίμονα	keu)dai/mona	εὐδαίμων	eu)dai/mwn	n-p---na-
κεὐδαίμονα	keu)dai/mona	εὐδαίμων	eu)dai/mwn	n-s---ma-
κεὐδαίμονα	keu)dai/mona	εὐδαίμων	eu)dai/mwn	n-s---fa-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-prpenn-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-prpenv-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-prpena-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-pppenn-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-pppenv-
κείμενα	kei/mena	κεῖμαι	kei=mai	v-pppena-
κεῖσε	kei=se	ἐκεῖσε	e)kei=se	d--------
κεῖσε	kei=se	κεῖσε	kei=se	d--------
κεῖται	kei=tai	κέω	ke/w	v3spie---
κεῖται	kei=tai	κεῖμαι	kei=mai	v3spie---
κηπεύματα	khpeu/mata	κήπευμα	kh/peuma	n-p---nn-
κηπεύματα	khpeu/mata	κήπευμα	kh/peuma	n-p---nv-
κηπεύματα	khpeu/mata	κήπευμα	kh/peuma	n-p---na-
κιβδηλίαν	kibdhli/an	κιβδηλία	kibdhli/a	n-s---fa-
κιβδηλίαν	kibdhli/an	κιβδηλιάω	kibdhlia/w	v3piia---
κιβδηλίαν	kibdhli/an	κιβδηλιάω	kibdhlia/w	v1siia---
κικκαβαῦ	kikkabau=	κικκαβαῦ	kikkabau=	x--------
κισσοῦ	kissou=	κισσάω	kissa/w	v2spme---
κισσοῦ	kissou=	κισσός	kisso/s	n-s---mg-
κισσοῦ	kissou=	κισσόω	kisso/w	v2spme---
κισσοῦ	kissou=	κισσόω	kisso/w	v2siie---
κιχλῶν	kixlw=n	κίχλη	ki/xlh	n-p---fg-
κιχλῶν	kixlw=n	κιχλάζω	kixla/zw	v-sfpamv-
κιχλῶν	kixlw=n	κιχλάζω	kixla/zw	v-sfpann-
κιχλῶν	kixlw=n	κιχλάζω	kixla/zw	v-sfpanv-
κιχλῶν	kixlw=n	κιχλάζω	kixla/zw	v-sfpana-
κιχλῶν	kixlw=n	κιχλάζω	kixla/zw	v-sfpamn-
κλαύσει	klau/sei	κλαίω	klai/w	v3sasa---
κλαύσει	klau/sei	κλαίω	klai/w	v2sfim---
κλαύσει	klau/sei	κλαῦσις	klau=sis	n-d---fn-
κλαύσει	klau/sei	κλαῦσις	klau=sis	n-d---fv-
κλαύσει	klau/sei	κλαῦσις	klau=sis	n-d---fa-
κλαύσει	klau/sei	κλαῦσις	klau=sis	n-s---fd-
κλαύσει	klau/sei	κλαῦσις	klau=sis	n-s---fd-
κλεινοτάτην	kleinota/thn	κλεινός	kleino/s	a-s---fas
κλεινόν	kleino/n	κλεινός	kleino/s	a-s---ma-
κλεινόν	kleino/n	κλεινός	kleino/s	a-s---nn-
κλεινόν	kleino/n	κλεινός	kleino/s	a-s---nv-
κλεινόν	kleino/n	κλεινός	kleino/s	a-s---na-
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-------s
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-p---nns
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-p---nvs
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-p---nas
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-s---mvs
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-p---fns
κλεινότατ’	kleino/tat'	κλεινός	kleino/s	a-p---fvs
κληθείς	klhqei/s	καλέω	kale/w	v-sappmn-
κληθείς	klhqei/s	καλέω	kale/w	v-sappmv-
κλητήρ	klhth/r	κλητήρ	klhth/r	n-s---mn-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-s---ma-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-s---md-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---mn-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---mv-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---ma-
κλάδεσι	kla/desi	κλάδος	kla/dos	n-p---nd-
κλάειν	kla/ein	κλαίω	klai/w	v--pna---
κλάοιμι	kla/oimi	κλάω	kla/w	v1spoa---
κλάοιμι	kla/oimi	κλαίω	klai/w	v1spoa---
κλίμακος	kli/makos	κλῖμαξ	kli=mac	n-s---fg-
κλύειν	klu/ein	κλύω	klu/w	v--pna---
κλύων	klu/wn	κλύω	klu/w	v-sppamn-
κλῄζω	klh/|zw	κλῄζω1	klh/|zw1	v1spsa---
κλῄζω	klh/|zw	κλῄζω1	klh/|zw1	v1spia---
κλῄζω	klh/|zw	κλῄζω2	klh/|zw2	v1spsa---
κλῄζω	klh/|zw	κλῄζω2	klh/|zw2	v1spia---
κλῄσατε	klh/|sate	κλείω1	klei/w1	v2pama---
κλῄσατε	klh/|sate	κλῄζω1	klh/|zw1	v2pama---
κλῄσατε	klh/|sate	κλῄζω1	klh/|zw1	v2paia---
κλῇσον	klh=|son	κλείω1	klei/w1	v2sama---
κλῇσον	klh=|son	κλείω1	klei/w1	v-sfpamv-
κλῇσον	klh=|son	κλείω1	klei/w1	v-sfpann-
κλῇσον	klh=|son	κλείω1	klei/w1	v-sfpanv-
κλῇσον	klh=|son	κλείω1	klei/w1	v-sfpana-
κλῇσον	klh=|son	κλῄζω1	klh/|zw1	v2sama---
κλῇσον	klh=|son	κλῄζω1	klh/|zw1	v-sfpamv-
κλῇσον	klh=|son	κλῄζω1	klh/|zw1	v-sfpann-
κλῇσον	klh=|son	κλῄζω1	klh/|zw1	v-sfpanv-
κλῇσον	klh=|son	κλῄζω1	klh/|zw1	v-sfpana-
κνισᾶν	knisa=n	κνῖσα	kni=sa	n-p---fg-
κνισᾶν	knisa=n	κνῖσα	kni=sa	n-p---fg-
κνισᾶν	knisa=n	κνισάω	knisa/w	v-sppamv-
κνισᾶν	knisa=n	κνισάω	knisa/w	v-sppann-
κνισᾶν	knisa=n	κνισάω	knisa/w	v-sppanv-
κνισᾶν	knisa=n	κνισάω	knisa/w	v-sppana-
κνισᾶν	knisa=n	κνισάω	knisa/w	v-sppamn-
κνισᾶν	knisa=n	κνισάω	knisa/w	v--pna---
κνισᾶν	knisa=n	κνισάω	knisa/w	v--pna---
κνισᾶν	knisa=n	κνισός	kniso/s	a-p---mg-
κνισᾶν	knisa=n	κνισός	kniso/s	a-p---fg-
κνῖπες	kni=pes	κνίψ	kni/y	n-p---mn-
κνῖσα	kni=sa	κνῖσα	kni=sa	n-s---fn-
κνῖσα	kni=sa	κνῖσα	kni=sa	n-s---fv-
κνῖσαν	kni=san	κνῖσα	kni=sa	n-s---fa-
κοινήν	koinh/n	κοινός	koino/s	a-s---fa-
κοινόν	koino/n	κοινός	koino/s	a-s---ma-
κοινόν	koino/n	κοινός	koino/s	a-s---nn-
κοινόν	koino/n	κοινός	koino/s	a-s---nv-
κοινόν	koino/n	κοινός	koino/s	a-s---na-
κοινόν	koino/n	κοινός	koino/s	n-s---ma-
κοινόν	koino/n	κοινός	koino/s	n-s---fa-
κοινόν	koino/n	κοινός	koino/s	n-s---nn-
κοινόν	koino/n	κοινός	koino/s	n-s---nv-
κοινόν	koino/n	κοινός	koino/s	n-s---na-
κολοιούς	koloiou/s	κολοιός	koloio/s	n-p---ma-
κολοιάρχας	koloia/rxas	κολοίαρχος	koloi/arxos	n-p---ma-
κολοιάρχας	koloia/rxas	κολοίαρχος	koloi/arxos	n-s---mn-
κολοιάρχας	koloia/rxas	κολοιάρχης	koloia/rxhs	n-p---ma-
κολοιάρχας	koloia/rxas	κολοιάρχης	koloia/rxhs	n-s---mn-
κολοιόν	koloio/n	κολοιός	koloio/s	n-s---ma-
κολοιός	koloio/s	κολοιός	koloio/s	n-s---mn-
κολοιῷ	koloiw=|	κολοιάω	koloia/w	v3spoa---
κολοιῷ	koloiw=|	κολοιάω	koloia/w	v3spoa---
κολοιῷ	koloiw=|	κολοιός	koloio/s	n-s---md-
κολυμβίς	kolumbi/s	κολυμβίς	kolumbi/s	n-s---fn-
κομαροφάγα	komarofa/ga	κομαροφάγος	komarofa/gos	n-p---nn-
κομαροφάγα	komarofa/ga	κομαροφάγος	komarofa/gos	n-p---nv-
κομαροφάγα	komarofa/ga	κομαροφάγος	komarofa/gos	n-p---na-
κομιούμεθα	komiou/meqa	κομίζω	komi/zw	v1pfim---
κομψότερον	komyo/teron	κομψός	komyo/s	x--------
κομψότερον	komyo/teron	κομψός	komyo/s	a-s---ma-
κομψότερον	komyo/teron	κομψός	komyo/s	a-s---nn-
κομψότερον	komyo/teron	κομψός	komyo/s	a-s---nv-
κομψότερον	komyo/teron	κομψός	komyo/s	a-s---na-
κομάροις	koma/rois	κόμαρον	ko/maron	n-p---nd-
κομάροις	koma/rois	κόμαρος	ko/maros	n-p---fd-
κομίζει	komi/zei	κομίζω	komi/zw	v2spie---
κομίζει	komi/zei	κομίζω	komi/zw	v3spia---
κοπιᾶν	kopia=n	κοπία	kopi/a	n-p---fg-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v-sppamv-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v-sppann-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v-sppanv-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v-sppana-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v-sppamn-
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v--pna---
κοπιᾶν	kopia=n	κοπιάω	kopia/w	v--pna---
κορυδοῦ	korudou=	κορυδός	korudo/s	n-s---fg-
κορυδόν	korudo/n	κορυδός	korudo/s	n-s---fa-
κορυδός	korudo/s	κορυδός	korudo/s	n-s---fn-
κορυφαῖς	korufai=s	κορυφή	korufh/	n-p---fd-
κορώνη	korw/nh	κορώνη	korw/nh	n-s---fn-
κορώνη	korw/nh	κορώνη	korw/nh	n-s---fv-
κορώνην	korw/nhn	κορώνη	korw/nh	n-s---fa-
κορώνῃ	korw/nh|	κορώνη	korw/nh	n-s---fd-
κορῶναι	korw=nai	κορώνη	korw/nh	n-p---fn-
κορῶναι	korw=nai	κορώνη	korw/nh	n-p---fv-
κοτινοτράγα	kotinotra/ga	κοτινοτράγος	kotinotra/gos	n-p---nn-
κοτινοτράγα	kotinotra/ga	κοτινοτράγος	kotinotra/gos	n-p---nv-
κοτινοτράγα	kotinotra/ga	κοτινοτράγος	kotinotra/gos	n-p---na-
κοτίνοις	koti/nois	κότινον	ko/tinon	n-p---nd-
κοτίνοις	koti/nois	κότινος	ko/tinos	n-p---md-
κοτίνοις	koti/nois	κότινος	ko/tinos	n-p---fd-
κουρείοις	kourei/ois	κουρεῖον	kourei=on	n-p---nd-
κουφιῶ	koufiw=	κουφίζω	koufi/zw	v1sfia---
κοφίνους	kofi/nous	κόφινος	ko/finos	n-p---ma-
κοψίχοισιν	koyi/xoisin	κόψιχος	ko/yixos	n-p---md-
κοψίχων	koyi/xwn	κόψιχος	ko/yixos	n-p---mg-
κοψίχῳ	koyi/xw|	κόψιχος	ko/yixos	n-s---md-
κοὐ	kou)	οὐ	ou)	d--------
κοὐδέπω	kou)de/pw	οὐδέπω	ou)de/pw	d--------
κοὐδ’	kou)d'	οὐδέ	ou)de/	g--------
κοὐδ’	kou)d'	οὐδόσ1	ou)do/s1	n-s---mv-
κοὐδ’	kou)d'	οὐδόσ2	ou)do/s2	n-s---fv-
κοὐκ	kou)k	οὐ	ou)	d--------
κοὐχί	kou)xi/	οὐ	ou)	d--------
κοίλοις	koi/lois	κόιλος	ko/ilos	a-p---md-
κοίλοις	koi/lois	κόιλος	ko/ilos	a-p---nd-
κοίλοις	koi/lois	κοῖλος	koi=los	a-p---md-
κοίλοις	koi/lois	κοῖλος	koi=los	a-p---nd-
κούφαις	kou/fais	κοῦφος	kou=fos	a-p---fd-
κούφοις	kou/fois	κοῦφος	kou=fos	a-p---md-
κούφοις	kou/fois	κοῦφος	kou=fos	a-p---nd-
κοῦρε	kou=re	κόροσ2	ko/ros2	n-s---mv-
κοῦρε	kou=re	κοῦρος	kou=ros	n-s---mv-
κραδῶν	kradw=n	κράδη	kra/dh	n-p---fg-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppamv-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppann-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppanv-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppana-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppamn-
κραδῶν	kradw=n	κραδάω	krada/w	v-sppamn-
κρατεῖν	kratei=n	κρατέω	krate/w	v--pna---
κρατούμενα	kratou/mena	κρατέω	krate/w	v-pppenn-
κρατούμενα	kratou/mena	κρατέω	krate/w	v-pppenv-
κρατούμενα	kratou/mena	κρατέω	krate/w	v-pppena-
κρατήσας	krath/sas	κρατέω	krate/w	v-sapamn-
κρατήσας	krath/sas	κρατέω	krate/w	v-sapamv-
κρειττόνων	kreitto/nwn	κρείσσων	krei/sswn	a-p----g-
κρεμάσαντι	krema/santi	κρεμάννυμι	krema/nnumi	v-sapamd-
κρεμάσαντι	krema/santi	κρεμάννυμι	krema/nnumi	v-sapand-
κρεμάσαντι	krema/santi	κρεμάω	krema/w	v-sapamd-
κρεμάσαντι	krema/santi	κρεμάω	krema/w	v-sapand-
κρεμάσαντι	krema/santi	κρεμάζω	krema/zw	v-sapamd-
κρεμάσαντι	krema/santi	κρεμάζω	krema/zw	v-sapand-
κρεμάσατον	krema/saton	κρεμάννυμι	krema/nnumi	v2dama---
κρεμάσατον	krema/saton	κρεμάννυμι	krema/nnumi	v2daia---
κρεμάσατον	krema/saton	κρεμάω	krema/w	v2dama---
κρεμάσατον	krema/saton	κρεμάζω	krema/zw	v2dama---
κρεμάσατον	krema/saton	κρεμάζω	krema/zw	v2daia---
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---mn-
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---ma-
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---fn-
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---fa-
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---ma-
κρείττους	krei/ttous	κρείσσων	krei/sswn	a-p---fa-
κρείττους	krei/ttous	κρεισσόω	kreisso/w	v2siia---
κρείττω	krei/ttw	κρείσσων	krei/sswn	a-p---na-
κρείττω	krei/ttw	κρείσσων	krei/sswn	a-p---nn-
κρείττω	krei/ttw	κρείσσων	krei/sswn	a-s---ma-
κρείττω	krei/ttw	κρείσσων	krei/sswn	a-s---fa-
κρείττω	krei/ttw	κρεισσόω	kreisso/w	v3siia---
κριθοτράγων	kriqotra/gwn	κριθοτράγος	kriqotra/gos	n-p---mg-
κριθοτράγων	kriqotra/gwn	κριθοτράγος	kriqotra/gos	n-p---fg-
κριθοτράγων	kriqotra/gwn	κριθοτράγος	kriqotra/gos	n-p---ng-
κριθάς	kriqa/s	κριθή	kriqh/	n-p---fa-
κριταῖς	kritai=s	κριτής	krith/s	n-p---md-
κριταῖς	kritai=s	κριτός	krito/s	a-p---fd-
κριτής	krith/s	κριτής	krith/s	n-s---mn-
κριτῇ	krith=|	κριτής	krith/s	n-s---md-
κριτῇ	krith=|	κριτός	krito/s	a-s---fd-
κριόν	krio/n	κριός	krio/s	n-s---ma-
κρυερά	kruera/	κρυερός	kruero/s	a-p---nn-
κρυερά	kruera/	κρυερός	kruero/s	a-p---nv-
κρυερά	kruera/	κρυερός	kruero/s	a-p---na-
κρυερά	kruera/	κρυερός	kruero/s	a-d---fn-
κρυερά	kruera/	κρυερός	kruero/s	a-d---fv-
κρυερά	kruera/	κρυερός	kruero/s	a-d---fa-
κρυερά	kruera/	κρυερός	kruero/s	a-s---fn-
κρυερά	kruera/	κρυερός	kruero/s	a-s---fv-
κρυερά	kruera/	κρυερός	kruero/s	n-p---nn-
κρυερά	kruera/	κρυερός	kruero/s	n-p---nv-
κρυερά	kruera/	κρυερός	kruero/s	n-p---na-
κρυεράν	kruera/n	κρυερός	kruero/s	a-s---fa-
κρέα	kre/a	κρέας	kre/as	n-p---nn-
κρέα	kre/a	κρέας	kre/as	n-p---nv-
κρέα	kre/a	κρέας	kre/as	n-p---na-
κρέκες	kre/kes	κρέξ	kre/c	n-p---fn-
κρέκες	kre/kes	κρέξ	kre/c	n-p---fv-
κρέκες	kre/kes	κρέκω	kre/kw	v2spia---
κρέκες	kre/kes	κρέκω	kre/kw	v2siia---
κρέκοντες	kre/kontes	κρέκω	kre/kw	v-pppamn-
κρέκοντες	kre/kontes	κρέκω	kre/kw	v-pppamv-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-sppafn-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-sppafv-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-pppamd-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-pppand-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v3ppia---
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-pppafn-
κρέκουσ’	kre/kous'	κρέκω	kre/kw	v-pppafv-
κρέμαται	kre/matai	κρεμάννυμι	krema/nnumi	v3spie---
κρίνητε	kri/nhte	κρίνω	kri/nw	v2pamp---
κρίνητε	kri/nhte	κρίνω	kri/nw	v2pasa---
κρίνητε	kri/nhte	κρίνω	kri/nw	v2ppsa---
κρίνητε	kri/nhte	κρίνω	kri/nw	v2paip---
κρίνωσιν	kri/nwsin	κρίνω	kri/nw	v3pasa---
κρίνωσιν	kri/nwsin	κρίνω	kri/nw	v3ppsa---
κρώζει	krw/zei	κρώζω	krw/zw	v2spie---
κρώζει	krw/zei	κρώζω	krw/zw	v3spia---
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-sppafn-
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-sppafv-
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-pppamd-
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-pppand-
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v3ppia---
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-pppafn-
κρώζουσ’	krw/zous'	κρώζω	krw/zw	v-pppafv-
κτείνω	ktei/nw	κτείνω	ktei/nw	v1sasa---
κτείνω	ktei/nw	κτείνω	ktei/nw	v1spsa---
κτείνω	ktei/nw	κτείνω	ktei/nw	v1spia---
κτείνω	ktei/nw	κτείνω	ktei/nw	v2saim---
κτείνων	ktei/nwn	κτείνω	ktei/nw	v-sppamn-
κτίστορ	kti/stor	κτίστωρ	kti/stwr	n-s---mv-
κτύπος	ktu/pos	κτύπος	ktu/pos	n-s---mn-
κτῆσιν	kth=sin	κτάομαι	kta/omai	v2spse---
κτῆσιν	kth=sin	κτέομαι	kte/omai	v2spse---
κτῆσιν	kth=sin	κτείνω	ktei/nw	v2sasm---
κτῆσιν	kth=sin	κτῆσις	kth=sis	n-s---fa-
κτῶμαι	ktw=mai	κτάομαι	kta/omai	v1spse---
κτῶμαι	ktw=mai	κτάομαι	kta/omai	v1spie---
κτῶμαι	ktw=mai	κτάομαι	kta/omai	v1spse---
κτῶμαι	ktw=mai	κτέομαι	kte/omai	v1spse---
κτῶμαι	ktw=mai	κτείνω	ktei/nw	v1sasm---
κυαναυγέα	kuanauge/a	κυαναυγής	kuanaugh/s	n-p---nn-
κυαναυγέα	kuanauge/a	κυαναυγής	kuanaugh/s	n-p---nv-
κυαναυγέα	kuanauge/a	κυαναυγής	kuanaugh/s	n-p---na-
κυαναυγέα	kuanauge/a	κυαναυγής	kuanaugh/s	n-s---ma-
κυαναυγέα	kuanauge/a	κυαναυγής	kuanaugh/s	n-s---fa-
κυκλεῖς	kuklei=s	κυκλέω	kukle/w	v2spia---
κυκλιοδιδάσκαλον	kukliodida/skalon	κυκλιοδιδάσκαλος	kukliodida/skalos	n-s---ma-
κυκλοτεροῦς	kukloterou=s	κυκλοτερής	kukloterh/s	n-s---mg-
κυκλοτεροῦς	kukloterou=s	κυκλοτερής	kukloterh/s	n-s---fg-
κυκλοτεροῦς	kukloterou=s	κυκλοτερής	kukloterh/s	n-s---ng-
κυλλόν	kullo/n	κυλλός	kullo/s	a-s---ma-
κυλλόν	kullo/n	κυλλός	kullo/s	a-s---nn-
κυλλόν	kullo/n	κυλλός	kullo/s	a-s---nv-
κυλλόν	kullo/n	κυλλός	kullo/s	a-s---na-
κυνῆ	kunh=	κυνέη	kune/h	n-s---fn-
κυνῆ	kunh=	κυνέη	kune/h	n-s---fv-
κυρβασίαν	kurbasi/an	κυρβασία	kurbasi/a	n-s---fa-
κυάμῳ	kua/mw|	κύαμος	ku/amos	n-s---md-
κωδωνοφορεῖται	kwdwnoforei=tai	κωδωνοφορέω	kwdwnofore/w	v3spie---
κωδωνοφορῶν	kwdwnoforw=n	κωδωνοφορέω	kwdwnofore/w	v-sppamn-
κωλακρέτην	kwlakre/thn	κωλαγρέτης	kwlagre/ths	n-s---ma-
κωλακρέτην	kwlakre/thn	κωλακρέτης	kwlakre/ths	n-s---ma-
κωλύει	kwlu/ei	κωλύω	kwlu/w	v2spie---
κωλύει	kwlu/ei	κωλύω	kwlu/w	v3spia---
κἀβασίλευεν	ka)basi/leuen	βασιλεύω	basileu/w	v3siia---
κἀβασίλευον	ka)basi/leuon	βασιλεύω	basileu/w	v3piia---
κἀβασίλευον	ka)basi/leuon	βασιλεύω	basileu/w	v1siia---
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mv-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---ma-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mv-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fv-
κἀκεῖ	ka)kei=	ἀκέομαι	a)ke/omai	v2sfim---
κἀκεῖ	ka)kei=	ἀκέομαι	a)ke/omai	v2spie---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	v2spie---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	v3spia---
κἀκεῖ	ka)kei=	ἐκεῖ	e)kei=	d--------
κἀκεῖθεν	ka)kei=qen	ἐκεῖθεν	e)kei=qen	d--------
κἀκλέψουσι	ka)kle/yousi	ἐκλέπω	e)kle/pw	v3pasa---
κἀκλέψουσι	ka)kle/yousi	ἐκλέπω	e)kle/pw	v-pfpamd-
κἀκλέψουσι	ka)kle/yousi	ἐκλέπω	e)kle/pw	v-pfpand-
κἀκλέψουσι	ka)kle/yousi	ἐκλέπω	e)kle/pw	v3pfia---
κἀκλέψουσι	ka)kle/yousi	κλέπτω	kle/ptw	v-ptiamd-
κἀκλέψουσι	ka)kle/yousi	κλέπτω	kle/ptw	v-ptiand-
κἀκλέψουσι	ka)kle/yousi	κλέπτω	kle/ptw	v3ptia---
κἀμαυτόν	ka)mauto/n	ἐμαυτοῦ	e)mautou=	p-s---ma-
κἀμαυτόν	ka)mauto/n	ἐμαυτοῦ	e)mautou=	p-s---na-
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s1	a-p---mn-
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s1	a-p---mv-
κἀμοί	ka)moi/	ἀμόω	a)mo/w	v2spse---
κἀμοί	ka)moi/	ἀμόω	a)mo/w	v2spie---
κἀμοί	ka)moi/	ἀμόω	a)mo/w	v3spsa---
κἀμοί	ka)moi/	ἐγώ	e)gw/	p-s---md-
