Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-s---mn-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---mg-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	urn:cite2:hmt:lsj.chicago_md:n18968	n-s---fa-
Βαβυλῶνα	*babulw=na	Βαβυλών	*babulw/n	urn:cite2:hmt:lsj.chicago_md:n18968	n-s---ma-
Βασίλεια	*basi/leia	βασίλεια	basi/leia	urn:cite2:hmt:lsj.chicago_md:n19539	n-s---fn-
Βασίλεια	*basi/leia	βασίλεια	basi/leia	urn:cite2:hmt:lsj.chicago_md:n19539	n-s---fv-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	urn:cite2:hmt:lsj.chicago_md:n19544	n-p---nn-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	urn:cite2:hmt:lsj.chicago_md:n19544	n-p---nv-
Βασίλεια	*basi/leia	βασίλειον	basi/leion	urn:cite2:hmt:lsj.chicago_md:n19544	n-p---na-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	a-p---nn-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	a-p---nv-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	a-p---na-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	n-p---nn-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	n-p---nv-
Βασίλεια	*basi/leia	βασίλειος	basi/leios	urn:cite2:hmt:lsj.chicago_md:n19545	n-p---na-
Βασίλειαν	*basi/leian	βασίλεια	basi/leia	urn:cite2:hmt:lsj.chicago_md:n19539	n-s---fa-
Βασίλειάν	*basi/leia/n	βασίλεια	basi/leia	urn:cite2:hmt:lsj.chicago_md:n19539	n-s---fa-
Βοιωτούς	*boiwtou/s	Βοιωτός	*boiwto/s	urn:cite2:hmt:lsj.chicago_md:n20256	n-p---ma-
Βάκιδος	*ba/kidos	Βάκις	*ba/kis	urn:cite2:hmt:lsj.chicago_md:n19146	n-s---fg-
Βάκις	*ba/kis	Βάκις	*ba/kis	urn:cite2:hmt:lsj.chicago_md:n19146	n-s---fn-
Δαρείου	*darei/ou	Δαρεῖος	*darei=os	urn:cite2:hmt:lsj.chicago_md:n23468	n-s---mg-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---mn-
Δελφοί	*delfoi/	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---mv-
Δελφούς	*delfou/s	Δελφοί	*delfoi/	urn:cite2:hmt:lsj.chicago_md:n24003	n-p---ma-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	a-s---md-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	a-s---nd-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	n-s---md-
